symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
X:BTCUSD,2026-03-11T11:30:00+00:00,2026-03-11T13:00:00+00:00,11,13,crypto_short_breakdown,stop_loss,69159.59300,70258.55570,0.10000,-114.42736,4.53109,3,1.00000,"{'position_intent': 'short_entry', 'breakout_low': 69387.1, 'rebound_high': 69755.0, 'short_breakdown_low': 69387.1, 'short_rebound_high': 69755.0}"
X:BTCUSD,2026-03-12T02:00:00+00:00,2026-03-12T07:00:00+00:00,2,7,crypto_short_breakdown,trailing_stop,69586.45896,69644.94368,0.10000,-10.37349,4.52502,10,0.94077,"{'position_intent': 'short_entry', 'breakout_low': 69763.82, 'rebound_high': 70382.0, 'short_breakdown_low': 69763.82, 'short_rebound_high': 70382.0}"
X:BTCUSD,2026-03-12T10:30:00+00:00,2026-03-12T18:30:00+00:00,10,18,crypto_short_breakdown,stale_breakout,70451.65466,69812.40507,0.10000,-68.48354,4.55858,16,0.70000,"{'position_intent': 'short_exit', 'short_exit': 1.0}"
X:BTCUSD,2026-03-13T22:00:00+00:00,2026-03-16T00:00:00+00:00,22,0,crypto_short_breakdown,stop_loss,70669.66646,72516.87440,0.10000,-189.37436,4.65356,4,1.00000,"{'position_intent': 'short_entry', 'breakout_low': 70830.0, 'rebound_high': 71500.96, 'short_breakdown_low': 70830.0, 'short_rebound_high': 71500.96}"
X:BTCUSD,2026-03-17T10:00:00+00:00,2026-03-17T14:30:00+00:00,10,14,crypto_short_breakdown,signal_exit,73746.79482,74431.67158,0.10000,-73.30348,4.81580,9,0.63215,"{'position_intent': 'short_entry', 'breakout_low': 73770.0, 'rebound_high': 74458.63, 'short_breakdown_low': 73770.0, 'short_rebound_high': 74458.63}"
X:BTCUSD,2026-03-18T11:00:00+00:00,2026-03-18T14:00:00+00:00,11,14,crypto_short_breakdown,take_profit,73601.75658,71683.15936,0.10000,187.13796,4.72176,6,0.81744,"{'position_intent': 'short_entry', 'breakout_low': 73689.0, 'rebound_high': 74317.56, 'short_breakdown_low': 73689.0, 'short_rebound_high': 74317.56}"
X:BTCUSD,2026-03-19T20:30:00+00:00,2026-03-20T00:30:00+00:00,20,0,crypto_short_breakdown,stale_breakout,70501.42213,70175.29063,0.10000,-37.18514,4.57199,8,0.70000,"{'position_intent': 'short_exit', 'short_exit': 1.0}"
X:BTCUSD,2026-03-20T13:30:00+00:00,2026-03-20T21:30:00+00:00,13,21,crypto_short_breakdown,stale_breakout,69827.80276,70584.58460,0.10000,-80.24159,4.56340,16,1.00000,"{'position_intent': 'short_entry', 'breakout_low': 70200.8, 'rebound_high': 70700.0, 'short_breakdown_low': 70200.8, 'short_rebound_high': 70700.0}"
X:BTCUSD,2026-03-24T05:00:00+00:00,2026-03-24T07:00:00+00:00,5,7,crypto_short_breakdown,stop_loss,70139.13605,70926.05581,0.10000,-83.27659,4.58462,4,0.65167,"{'position_intent': 'short_entry', 'breakout_low': 70225.25, 'rebound_high': 70746.0, 'short_breakdown_low': 70225.25, 'short_rebound_high': 70746.0}"
X:BTCUSD,2026-03-24T07:30:00+00:00,2026-03-24T11:30:00+00:00,7,11,crypto_short_breakdown,stale_breakout,71299.69185,71119.31900,0.10000,-22.66590,4.62862,8,0.70000,"{'position_intent': 'short_exit', 'short_exit': 1.0}"
X:BTCUSD,2026-03-24T16:30:00+00:00,2026-03-24T21:30:00+00:00,16,21,crypto_short_breakdown,stop_loss,69426.58295,70315.53425,0.10000,-93.43675,4.54162,10,0.73061,"{'position_intent': 'short_entry', 'breakout_low': 69472.03, 'rebound_high': 70253.0, 'short_breakdown_low': 69472.03, 'short_rebound_high': 70253.0}"
X:BTCUSD,2026-03-24T23:00:00+00:00,2026-03-25T03:00:00+00:00,23,3,crypto_short_breakdown,stale_breakout,70739.69786,70475.43560,0.10000,-31.01572,4.58949,8,0.70000,"{'position_intent': 'short_exit', 'short_exit': 1.0}"
X:BTCUSD,2026-03-26T05:00:00+00:00,2026-03-26T11:00:00+00:00,5,11,crypto_short_breakdown,take_profit,70515.09965,69302.82236,0.10000,116.68365,4.54408,12,0.70247,"{'position_intent': 'short_entry', 'breakout_low': 70598.0, 'rebound_high': 70899.0, 'short_breakdown_low': 70598.0, 'short_rebound_high': 70899.0}"
X:BTCUSD,2026-03-27T08:00:00+00:00,2026-03-27T10:30:00+00:00,8,10,crypto_short_breakdown,take_profit,68165.76210,66515.97440,0.10000,160.60161,4.37716,5,0.76121,"{'position_intent': 'short_entry', 'breakout_low': 68243.3, 'rebound_high': 68946.0, 'short_breakdown_low': 68243.3, 'short_rebound_high': 68946.0}"
X:BTCUSD,2026-03-30T19:00:00+00:00,2026-03-31T00:30:00+00:00,19,0,crypto_short_breakdown,stop_loss,66227.76285,67171.83276,0.10000,-98.74248,4.33549,11,1.00000,"{'position_intent': 'short_entry', 'breakout_low': 66450.0, 'rebound_high': 66970.0, 'short_breakdown_low': 66450.0, 'short_rebound_high': 66970.0}"
X:BTCUSD,2026-03-31T01:00:00+00:00,2026-03-31T08:30:00+00:00,1,8,crypto_short_breakdown,stale_breakout,67744.75869,66720.98885,0.10000,-106.74712,4.37014,15,0.70000,"{'position_intent': 'short_exit', 'short_exit': 1.0}"
X:BTCUSD,2026-04-02T01:00:00+00:00,2026-04-02T14:30:00+00:00,1,14,crypto_short_breakdown,signal_exit,67563.65243,66873.79807,0.10000,64.61622,4.36922,27,1.00000,"{'position_intent': 'short_entry', 'breakout_low': 67920.0, 'rebound_high': 68652.0, 'short_breakdown_low': 67920.0, 'short_rebound_high': 68652.0}"
