name,description,archetype,variant_label,timeframe_label,session_label,strategy_family,direction_mode,direction_role,realized_pnl,closed_trades,win_rate_pct,profit_factor,max_drawdown_pct,total_costs,expectancy,sharpe_ratio,sortino_ratio,calmar_ratio,avg_win,avg_loss,payoff_ratio,avg_hold_bars,dominant_exit,dominant_exit_share_pct,component_count,combo_outperformance_score,combo_trade_overlap_pct,best_regime,best_unified_regime,best_regime_pnl,worst_regime,worst_unified_regime,worst_regime_pnl,dominant_regime_share_pct,regime_stability_score,regime_loss_ratio,regime_trade_count_by_label,regime_pnl_by_label,regime_pf_by_label,regime_win_rate_by_label,regime_filter_label,broker_swap_available,broker_swap_long,broker_swap_short,broker_preferred_carry_side,broker_carry_spread,mc_simulations,mc_pnl_median,mc_pnl_p05,mc_pnl_p95,mc_max_drawdown_pct_median,mc_max_drawdown_pct_p95,mc_loss_probability_pct,walk_forward_windows,walk_forward_pass_rate_pct,walk_forward_avg_validation_pnl,walk_forward_avg_test_pnl,walk_forward_avg_validation_pf,walk_forward_avg_test_pf,train_pnl,validation_pnl,validation_profit_factor,validation_closed_trades,test_pnl,test_profit_factor,test_closed_trades,trade_log_path,trade_analysis_path
trend__5m_europe__exit_fastfail,EMA trend continuation [5m_europe] with fast-fail exits,entry_exit_family,5m_europe,5m,europe,trend__5m_europe__exit_fastfail,both,combined,1358.01832,17,23.52941,2.08757,1.01341,11.29347,79.88343,0.13477,0.67263,1.34004,651.67256,-96.05168,6.78460,75.05882,trailing_stop,41.17647,1,0.00000,0.00000,trend_up_vol_mid,orderly_trend,1559.28424,trend_up_vol_low,orderly_trend,-230.09260,58.82353,0.87345,0.14756,"{""trend_up_vol_high"": 3, ""trend_up_vol_low"": 4, ""trend_up_vol_mid"": 10}","{""trend_up_vol_high"": 28.826685138023496, ""trend_up_vol_low"": -230.0926046972149, ""trend_up_vol_mid"": 1559.2842442501985}","{""trend_up_vol_high"": 1.375255383781971, ""trend_up_vol_low"": 0.0, ""trend_up_vol_mid"": 2.6557121762139295}","{""trend_up_vol_high"": 66.66666666666666, ""trend_up_vol_low"": 0.0, ""trend_up_vol_mid"": 20.0}",,1,-87.07000,13.23000,short,-100.30000,500,1208.23199,-1408.77406,6071.25460,0.88404,1.55010,34.80000,2,0.00000,-553.33070,-516.70254,0.09222,0.21491,-93.89128,-639.52416,0.00000,5,-339.19251,0.42982,7,artifacts\research\xauusd\candidates\trend__5m_europe__exit_fastfail_5m_europe_symbol_candidate_trades.csv,artifacts\research\xauusd\candidates\trend__5m_europe__exit_fastfail_5m_europe_symbol_candidate_analysis.txt
momentum__5m_europe__exit_trend,Momentum confirmation [5m_europe] with trend-runner exits,entry_exit_family,5m_europe,5m,europe,momentum__5m_europe__exit_trend,both,combined,-632.94313,14,28.57143,0.51519,1.05488,9.07611,-45.21022,-0.26244,-0.28057,-0.60002,168.15313,-130.55557,1.28798,21.64286,trailing_stop,35.71429,1,0.00000,0.00000,trend_up_vol_high,trend_expansion,213.41845,trend_up_vol_mid,orderly_trend,-687.30637,35.71429,0.20138,3.22046,"{""trend_flat_vol_high"": 2, ""trend_flat_vol_mid"": 3, ""trend_up_vol_high"": 4, ""trend_up_vol_mid"": 5}","{""trend_flat_vol_high"": -48.44638981243574, ""trend_flat_vol_mid"": -110.60882123876317, ""trend_up_vol_high"": 213.4184524493163, ""trend_up_vol_mid"": -687.306371546666}","{""trend_flat_vol_high"": 0.7654245027547139, ""trend_flat_vol_mid"": 0.04449014968237764, ""trend_up_vol_high"": 1.7210998631551089, ""trend_up_vol_mid"": 0.0}","{""trend_flat_vol_high"": 50.0, ""trend_flat_vol_mid"": 33.33333333333333, ""trend_up_vol_high"": 50.0, ""trend_up_vol_mid"": 0.0}",,1,-87.07000,13.23000,short,-100.30000,500,-669.65936,-1605.89511,453.78339,0.91408,1.74067,85.00000,2,0.00000,-171.54720,-455.89382,0.33233,0.00000,-57.12500,-133.73998,0.00000,2,-673.35747,0.00000,5,artifacts\research\xauusd\candidates\momentum__5m_europe__exit_trend_5m_europe_symbol_candidate_trades.csv,artifacts\research\xauusd\candidates\momentum__5m_europe__exit_trend_5m_europe_symbol_candidate_analysis.txt
momentum__5m_europe__exit_fastfail,Momentum confirmation [5m_europe] with fast-fail exits,entry_exit_family,5m_europe,5m,europe,momentum__5m_europe__exit_fastfail,both,combined,-844.12476,14,21.42857,0.45302,0.84412,9.07464,-60.29463,-0.31600,-0.36306,-1.00000,233.03576,-140.29382,1.66106,7.64286,stop_loss,35.71429,1,0.00000,0.00000,trend_flat_vol_high,dislocated_chop,229.52942,trend_up_vol_mid,orderly_trend,-607.31333,35.71429,0.22377,2.64591,"{""trend_flat_vol_high"": 2, ""trend_flat_vol_mid"": 3, ""trend_up_vol_high"": 4, ""trend_up_vol_mid"": 5}","{""trend_flat_vol_high"": 229.5294243432477, ""trend_flat_vol_mid"": 112.37177788611825, ""trend_up_vol_high"": -578.7126265943018, ""trend_up_vol_mid"": -607.3133315018681}","{""trend_flat_vol_high"": 2.3039179400855727, ""trend_flat_vol_mid"": 1.9707393991308626, ""trend_up_vol_high"": 0.0, ""trend_up_vol_mid"": 0.09724043047299004}","{""trend_flat_vol_high"": 50.0, ""trend_flat_vol_mid"": 33.33333333333333, ""trend_up_vol_high"": 0.0, ""trend_up_vol_mid"": 20.0}",,1,-87.07000,13.23000,short,-100.30000,500,-882.70415,-1947.16332,375.42615,1.13758,2.05539,88.60000,2,0.00000,-186.29592,-366.50159,0.43482,0.05367,79.66310,-77.04491,0.29118,2,-543.96873,0.10735,5,artifacts\research\xauusd\candidates\momentum__5m_europe__exit_fastfail_5m_europe_symbol_candidate_trades.csv,artifacts\research\xauusd\candidates\momentum__5m_europe__exit_fastfail_5m_europe_symbol_candidate_analysis.txt
mean_reversion__5m_europe__exit_quick,Intraday mean reversion [5m_europe] with quick-fail mean reversion exits,entry_exit_family,5m_europe,5m,europe,mean_reversion__5m_europe__exit_quick,both,combined,236.47029,4,50.00000,2.31929,0.21619,2.54170,59.11757,0.25019,0.55251,1.09380,207.85526,-89.62011,2.31929,5.00000,structure_exit,50.00000,1,0.00000,0.00000,trend_down_vol_high,trend_expansion,267.63713,trend_up_vol_high,trend_expansion,-31.16684,75.00000,0.89569,0.11645,"{""trend_down_vol_high"": 3, ""trend_up_vol_high"": 1}","{""trend_down_vol_high"": 267.63712987229985, ""trend_up_vol_high"": -31.166838409968822}","{""trend_down_vol_high"": 2.8074627347631753, ""trend_up_vol_high"": 0.0}","{""trend_down_vol_high"": 66.66666666666666, ""trend_up_vol_high"": 0.0}",,1,-87.07000,13.23000,short,-100.30000,500,187.40795,-311.87123,1045.37165,0.14807,0.35848,32.40000,2,0.00000,-179.24023,397.81501,0.00000,999.00000,17.89550,-179.24023,0.00000,2,397.81501,999.00000,1,artifacts\research\xauusd\candidates\mean_reversion__5m_europe__exit_quick_5m_europe_symbol_candidate_trades.csv,artifacts\research\xauusd\candidates\mean_reversion__5m_europe__exit_quick_5m_europe_symbol_candidate_analysis.txt
volatility_breakout__5m_europe__exit_trend,Generic volatility breakout [5m_europe] with trend-runner exits,entry_exit_family,5m_europe,5m,europe,volatility_breakout,long_only,long_leg,2454.18715,6,33.33333,11.27271,0.73955,4.08356,409.03119,0.36613,5.90206,3.31851,1346.54537,-59.72590,22.54542,388.16667,trailing_stop,50.00000,1,0.00000,0.00000,trend_up_vol_high,trend_expansion,2687.94060,trend_up_vol_mid,orderly_trend,-126.58660,50.00000,0.91999,0.04709,"{""trend_flat_vol_mid"": 3, ""trend_up_vol_high"": 1, ""trend_up_vol_mid"": 2}","{""trend_flat_vol_mid"": -107.16684783630363, ""trend_up_vol_high"": 2687.9406016127227, ""trend_up_vol_mid"": -126.58660305534877}","{""trend_flat_vol_mid"": 0.04585355805082677, ""trend_up_vol_high"": 999.0, ""trend_up_vol_mid"": 0.0}","{""trend_flat_vol_mid"": 33.33333333333333, ""trend_up_vol_high"": 100.0, ""trend_up_vol_mid"": 0.0}",,1,-87.07000,13.23000,short,-100.30000,500,2434.35316,-386.00916,7851.11796,0.19358,0.39185,34.40000,2,0.00000,262.41567,-149.74500,16.58793,0.00000,-144.88247,-318.16777,0.00000,2,-174.25000,0.00000,3,artifacts\research\xauusd\candidates\volatility_breakout__5m_europe__exit_trend_5m_europe_symbol_candidate_trades.csv,artifacts\research\xauusd\candidates\volatility_breakout__5m_europe__exit_trend_5m_europe_symbol_candidate_analysis.txt
volatility_breakout__5m_europe__exit_fastfail,Generic volatility breakout [5m_europe] with fast-fail exits,entry_exit_family,5m_europe,5m,europe,volatility_breakout,long_only,long_leg,2711.36477,6,50.00000,13.74714,0.48237,4.08536,451.89413,0.41012,5.75062,5.62095,974.68954,-70.90128,13.74714,387.66667,signal_exit,33.33333,1,0.00000,0.00000,trend_up_vol_high,trend_expansion,2687.94060,trend_up_vol_mid,orderly_trend,-92.38958,50.00000,0.96810,0.03437,"{""trend_flat_vol_mid"": 3, ""trend_up_vol_high"": 1, ""trend_up_vol_mid"": 2}","{""trend_flat_vol_mid"": 115.81375128857779, ""trend_up_vol_high"": 2687.9406016127227, ""trend_up_vol_mid"": -92.38957843619278}","{""trend_flat_vol_mid"": 2.031133050489417, ""trend_up_vol_high"": 999.0, ""trend_up_vol_mid"": 0.07966467685233783}","{""trend_flat_vol_mid"": 33.33333333333333, ""trend_up_vol_high"": 100.0, ""trend_up_vol_mid"": 50.0}",,1,-87.07000,13.23000,short,-100.30000,500,2614.49650,-317.02354,7851.11796,0.16975,0.36718,17.60000,2,0.00000,328.35993,-130.84665,499.50000,0.00000,112.29516,-220.47627,0.00000,2,-155.35165,0.00000,3,artifacts\research\xauusd\candidates\volatility_breakout__5m_europe__exit_fastfail_5m_europe_symbol_candidate_trades.csv,artifacts\research\xauusd\candidates\volatility_breakout__5m_europe__exit_fastfail_5m_europe_symbol_candidate_analysis.txt
opening_range_breakout__5m_europe__exit_trend,Opening range breakout [5m_europe] with trend-runner exits,entry_exit_family,5m_europe,5m,europe,opening_range_breakout,long_only,long_leg,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-87.07000,13.23000,short,-100.30000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\xauusd\candidates\opening_range_breakout__5m_europe__exit_trend_5m_europe_symbol_candidate_trades.csv,artifacts\research\xauusd\candidates\opening_range_breakout__5m_europe__exit_trend_5m_europe_symbol_candidate_analysis.txt
opening_range_breakout__5m_europe__exit_fastfail,Opening range breakout [5m_europe] with fast-fail exits,entry_exit_family,5m_europe,5m,europe,opening_range_breakout,long_only,long_leg,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-87.07000,13.23000,short,-100.30000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\xauusd\candidates\opening_range_breakout__5m_europe__exit_fastfail_5m_europe_symbol_candidate_trades.csv,artifacts\research\xauusd\candidates\opening_range_breakout__5m_europe__exit_fastfail_5m_europe_symbol_candidate_analysis.txt
xauusd_volatility_breakout__5m_europe__exit_trend,XAUUSD-tuned volatility breakout [5m_europe] with trend-runner exits,entry_exit_family,5m_europe,5m,europe,volatility_breakout,long_only,long_leg,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-87.07000,13.23000,short,-100.30000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\xauusd\candidates\xauusd_volatility_breakout__5m_europe__exit_trend_5m_europe_symbol_candidate_trades.csv,artifacts\research\xauusd\candidates\xauusd_volatility_breakout__5m_europe__exit_trend_5m_europe_symbol_candidate_analysis.txt
xauusd_volatility_breakout__5m_europe__exit_fastfail,XAUUSD-tuned volatility breakout [5m_europe] with fast-fail exits,entry_exit_family,5m_europe,5m,europe,volatility_breakout,long_only,long_leg,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-87.07000,13.23000,short,-100.30000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\xauusd\candidates\xauusd_volatility_breakout__5m_europe__exit_fastfail_5m_europe_symbol_candidate_trades.csv,artifacts\research\xauusd\candidates\xauusd_volatility_breakout__5m_europe__exit_fastfail_5m_europe_symbol_candidate_analysis.txt
xauusd_volatility_breakout_cross_tailwind__5m_europe__exit_trend,XAUUSD-tuned volatility breakout with cross-asset gold tailwind confirmation [5m_europe] with trend-runner exits,entry_exit_family,5m_europe,5m,europe,volatility_breakout,long_only,long_leg,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-87.07000,13.23000,short,-100.30000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\xauusd\candidates\xauusd_volatility_breakout_cross_tailwind__5m_europe__exit_trend_5m_europe_symbol_candidate_trades.csv,artifacts\research\xauusd\candidates\xauusd_volatility_breakout_cross_tailwind__5m_europe__exit_trend_5m_europe_symbol_candidate_analysis.txt
xauusd_volatility_breakout_cross_tailwind__5m_europe__exit_fastfail,XAUUSD-tuned volatility breakout with cross-asset gold tailwind confirmation [5m_europe] with fast-fail exits,entry_exit_family,5m_europe,5m,europe,volatility_breakout,long_only,long_leg,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-87.07000,13.23000,short,-100.30000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\xauusd\candidates\xauusd_volatility_breakout_cross_tailwind__5m_europe__exit_fastfail_5m_europe_symbol_candidate_trades.csv,artifacts\research\xauusd\candidates\xauusd_volatility_breakout_cross_tailwind__5m_europe__exit_fastfail_5m_europe_symbol_candidate_analysis.txt
