name,description,archetype,variant_label,timeframe_label,session_label,strategy_family,direction_mode,direction_role,realized_pnl,closed_trades,win_rate_pct,profit_factor,max_drawdown_pct,total_costs,expectancy,sharpe_ratio,sortino_ratio,calmar_ratio,avg_win,avg_loss,payoff_ratio,avg_hold_bars,dominant_exit,dominant_exit_share_pct,component_count,combo_outperformance_score,combo_trade_overlap_pct,best_regime,best_unified_regime,best_regime_pnl,worst_regime,worst_unified_regime,worst_regime_pnl,dominant_regime_share_pct,regime_stability_score,regime_loss_ratio,regime_trade_count_by_label,regime_pnl_by_label,regime_pf_by_label,regime_win_rate_by_label,regime_filter_label,broker_swap_available,broker_swap_long,broker_swap_short,broker_preferred_carry_side,broker_carry_spread,mc_simulations,mc_pnl_median,mc_pnl_p05,mc_pnl_p95,mc_max_drawdown_pct_median,mc_max_drawdown_pct_p95,mc_loss_probability_pct,walk_forward_windows,walk_forward_pass_rate_pct,walk_forward_avg_validation_pnl,walk_forward_avg_test_pnl,walk_forward_avg_validation_pf,walk_forward_avg_test_pf,train_pnl,validation_pnl,validation_profit_factor,validation_closed_trades,test_pnl,test_profit_factor,test_closed_trades,trade_log_path,trade_analysis_path
trend__5m_europe,EMA trend continuation [5m_europe],single,5m_europe,5m,europe,trend,both,combined,-49.71559,20,25.00000,0.96641,1.04495,13.12424,-2.48578,-0.01007,-0.02046,-0.04758,286.08354,-98.67555,2.89923,41.10000,trailing_stop,40.00000,1,0.00000,0.00000,trend_up_vol_high,trend_expansion,362.49765,trend_up_vol_low,orderly_trend,-230.09260,65.00000,0.46791,0.63474,"{""trend_up_vol_high"": 3, ""trend_up_vol_low"": 4, ""trend_up_vol_mid"": 13}","{""trend_up_vol_high"": 362.49765342488996, ""trend_up_vol_low"": -230.0926046972149, ""trend_up_vol_mid"": -182.1206352031085}","{""trend_up_vol_high"": 999.0, ""trend_up_vol_low"": 0.0, ""trend_up_vol_mid"": 0.8543082306332196}","{""trend_up_vol_high"": 100.0, ""trend_up_vol_low"": 0.0, ""trend_up_vol_mid"": 15.384615384615385}",,1,-87.07000,13.23000,short,-100.30000,500,-327.73287,-1609.99214,1671.80750,0.93345,1.67731,61.60000,2,0.00000,-386.49522,-516.70254,0.36545,0.21491,239.77969,-639.52416,0.00000,5,-339.19251,0.42982,7,artifacts\research\xauusd\candidates\trend__5m_europe_5m_europe_symbol_candidate_trades.csv,artifacts\research\xauusd\candidates\trend__5m_europe_5m_europe_symbol_candidate_analysis.txt
momentum__5m_europe,Momentum confirmation [5m_europe],single,5m_europe,5m,europe,momentum,both,combined,-534.05173,14,35.71429,0.58017,1.00738,9.07681,-38.14655,-0.21822,-0.22504,-0.53014,147.60581,-141.34231,1.04431,21.42857,trailing_stop,35.71429,1,0.00000,0.00000,trend_up_vol_high,trend_expansion,232.31681,trend_up_vol_mid,orderly_trend,-607.31333,35.71429,0.23262,2.61416,"{""trend_flat_vol_high"": 2, ""trend_flat_vol_mid"": 3, ""trend_up_vol_high"": 4, ""trend_up_vol_mid"": 5}","{""trend_flat_vol_high"": -48.44638981243574, ""trend_flat_vol_mid"": -110.60882123876317, ""trend_up_vol_high"": 232.31680815990467, ""trend_up_vol_mid"": -607.3133315018681}","{""trend_flat_vol_high"": 0.7654245027547139, ""trend_flat_vol_mid"": 0.04449014968237764, ""trend_up_vol_high"": 1.8384949458821347, ""trend_up_vol_mid"": 0.09724043047299004}","{""trend_flat_vol_high"": 50.0, ""trend_flat_vol_mid"": 33.33333333333333, ""trend_up_vol_high"": 50.0, ""trend_up_vol_mid"": 20.0}",,1,-87.07000,13.23000,short,-100.30000,500,-571.41673,-1531.77187,576.56777,0.86719,1.67204,80.00000,2,0.00000,-143.19967,-396.99894,0.47792,0.05112,-57.12500,-77.04491,0.29118,2,-574.46608,0.10223,5,artifacts\research\xauusd\candidates\momentum__5m_europe_5m_europe_symbol_candidate_trades.csv,artifacts\research\xauusd\candidates\momentum__5m_europe_5m_europe_symbol_candidate_analysis.txt
mean_reversion__5m_europe,Intraday mean reversion [5m_europe],single,5m_europe,5m,europe,mean_reversion,both,combined,323.36273,4,25.00000,5.34322,0.21807,2.54231,80.84068,0.38225,3.08120,1.48282,397.81501,-24.81743,16.02966,5.75000,structure_exit,75.00000,1,0.00000,0.00000,trend_down_vol_high,trend_expansion,354.52957,trend_up_vol_high,trend_expansion,-31.16684,75.00000,0.91919,0.08791,"{""trend_down_vol_high"": 3, ""trend_up_vol_high"": 1}","{""trend_down_vol_high"": 354.52956962095647, ""trend_up_vol_high"": -31.166838409968822}","{""trend_down_vol_high"": 9.190503245032248, ""trend_up_vol_high"": 0.0}","{""trend_down_vol_high"": 33.33333333333333, ""trend_up_vol_high"": 0.0}",,1,-87.07000,13.23000,short,-100.30000,500,323.36273,-122.66769,1162.27820,0.06167,0.12267,33.00000,2,0.00000,-43.95200,397.81501,0.00000,999.00000,-30.50029,-43.95200,0.00000,2,397.81501,999.00000,1,artifacts\research\xauusd\candidates\mean_reversion__5m_europe_5m_europe_symbol_candidate_trades.csv,artifacts\research\xauusd\candidates\mean_reversion__5m_europe_5m_europe_symbol_candidate_analysis.txt
volatility_breakout__5m_europe,Generic volatility breakout [5m_europe],single,5m_europe,5m,europe,volatility_breakout,long_only,long_leg,2488.38418,6,50.00000,12.69882,0.70535,4.08380,414.73070,0.37209,5.27770,3.52788,900.36267,-70.90128,12.69882,388.00000,trailing_stop,50.00000,1,0.00000,0.00000,trend_up_vol_high,trend_expansion,2687.94060,trend_flat_vol_mid,orderly_range,-107.16685,50.00000,0.93089,0.03987,"{""trend_flat_vol_mid"": 3, ""trend_up_vol_high"": 1, ""trend_up_vol_mid"": 2}","{""trend_flat_vol_mid"": -107.16684783630363, ""trend_up_vol_high"": 2687.9406016127227, ""trend_up_vol_mid"": -92.38957843619278}","{""trend_flat_vol_mid"": 0.04585355805082677, ""trend_up_vol_high"": 999.0, ""trend_up_vol_mid"": 0.07966467685233783}","{""trend_flat_vol_mid"": 33.33333333333333, ""trend_up_vol_high"": 100.0, ""trend_up_vol_mid"": 50.0}",,1,-87.07000,13.23000,short,-100.30000,500,2471.30393,-365.64650,7851.11796,0.17969,0.37895,34.00000,2,0.00000,307.86172,-130.84665,499.50000,0.00000,-110.68544,-261.47270,0.00000,2,-155.35165,0.00000,3,artifacts\research\xauusd\candidates\volatility_breakout__5m_europe_5m_europe_symbol_candidate_trades.csv,artifacts\research\xauusd\candidates\volatility_breakout__5m_europe_5m_europe_symbol_candidate_analysis.txt
opening_range_breakout__5m_europe,Opening range breakout [5m_europe],single,5m_europe,5m,europe,opening_range_breakout,long_only,long_leg,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-87.07000,13.23000,short,-100.30000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\xauusd\candidates\opening_range_breakout__5m_europe_5m_europe_symbol_candidate_trades.csv,artifacts\research\xauusd\candidates\opening_range_breakout__5m_europe_5m_europe_symbol_candidate_analysis.txt
xauusd_volatility_breakout__5m_europe,XAUUSD-tuned volatility breakout [5m_europe],single,5m_europe,5m,europe,volatility_breakout,long_only,long_leg,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-87.07000,13.23000,short,-100.30000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\xauusd\candidates\xauusd_volatility_breakout__5m_europe_5m_europe_symbol_candidate_trades.csv,artifacts\research\xauusd\candidates\xauusd_volatility_breakout__5m_europe_5m_europe_symbol_candidate_analysis.txt
xauusd_volatility_breakout_cross_tailwind__5m_europe,XAUUSD-tuned volatility breakout with cross-asset gold tailwind confirmation [5m_europe],single,5m_europe,5m,europe,volatility_breakout,long_only,long_leg,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-87.07000,13.23000,short,-100.30000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\xauusd\candidates\xauusd_volatility_breakout_cross_tailwind__5m_europe_5m_europe_symbol_candidate_trades.csv,artifacts\research\xauusd\candidates\xauusd_volatility_breakout_cross_tailwind__5m_europe_5m_europe_symbol_candidate_analysis.txt
xauusd_short_breakdown__5m_europe,XAUUSD short breakdown continuation [5m_europe],single,5m_europe,5m,europe,xauusd_short_breakdown,short_only,short_leg,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-87.07000,13.23000,short,-100.30000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\xauusd\candidates\xauusd_short_breakdown__5m_europe_5m_europe_symbol_candidate_trades.csv,artifacts\research\xauusd\candidates\xauusd_short_breakdown__5m_europe_5m_europe_symbol_candidate_analysis.txt
xauusd_vwap_reclaim__5m_europe,XAUUSD VWAP reclaim after oversold washout [5m_europe],single,5m_europe,5m,europe,xauusd_vwap_reclaim,long_only,long_leg,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-87.07000,13.23000,short,-100.30000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\xauusd\candidates\xauusd_vwap_reclaim__5m_europe_5m_europe_symbol_candidate_trades.csv,artifacts\research\xauusd\candidates\xauusd_vwap_reclaim__5m_europe_5m_europe_symbol_candidate_analysis.txt
trend__5m_europe__exit_trend,EMA trend continuation [5m_europe] with trend-runner exits,entry_exit_family,5m_europe,5m,europe,trend__5m_europe__exit_trend,both,combined,-859.12754,23,21.73913,0.52478,0.89177,15.09003,-37.35337,-0.24113,-0.29986,-0.96340,189.74380,-100.43592,1.88920,6.95652,trailing_stop,43.47826,1,0.00000,0.00000,trend_up_vol_high,trend_expansion,207.80910,trend_up_vol_mid,orderly_trend,-1141.51493,60.86957,0.19832,5.49309,"{""trend_up_vol_high"": 4, ""trend_up_vol_low"": 5, ""trend_up_vol_mid"": 14}","{""trend_up_vol_high"": 207.80910194582546, ""trend_up_vol_low"": 74.57828908110062, ""trend_up_vol_mid"": -1141.5149269327387}","{""trend_up_vol_high"": 1.891273801755554, ""trend_up_vol_low"": 1.3305145268305725, ""trend_up_vol_mid"": 0.15383409330985653}","{""trend_up_vol_high"": 50.0, ""trend_up_vol_low"": 40.0, ""trend_up_vol_mid"": 7.142857142857142}",,1,-87.07000,13.23000,short,-100.30000,500,-895.53454,-1925.87985,418.17328,1.17458,2.04734,88.00000,2,0.00000,-351.42463,-556.69906,0.43721,0.15610,478.70618,-639.52416,0.00000,5,-419.18555,0.31221,7,artifacts\research\xauusd\candidates\trend__5m_europe__exit_trend_5m_europe_symbol_candidate_trades.csv,artifacts\research\xauusd\candidates\trend__5m_europe__exit_trend_5m_europe_symbol_candidate_analysis.txt
