name,description,archetype,realized_pnl,closed_trades,win_rate_pct,profit_factor,max_drawdown_pct,total_costs,train_pnl,validation_pnl,validation_profit_factor,validation_closed_trades,test_pnl,test_profit_factor,test_closed_trades,trade_log_path,trade_analysis_path
mean_reversion__5m_overlap,Intraday mean reversion [5m_overlap],single,-11.78859,4,25.00000,0.02480,0.01317,2.36685,-9.43818,-2.35041,0.00000,1,0.00000,0.00000,0,artifacts\xauusd_mean_reversion_5m_overlap_symbol_candidate_trades.csv,artifacts\xauusd_mean_reversion_5m_overlap_symbol_candidate_analysis.txt
volatility_breakout__5m_overlap,Generic volatility breakout [5m_overlap],single,1.51190,10,30.00000,1.25983,0.00711,5.94835,-3.22478,5.39712,7.03031,2,-0.66045,0.46398,3,artifacts\xauusd_volatility_breakout_5m_overlap_symbol_candidate_trades.csv,artifacts\xauusd_volatility_breakout_5m_overlap_symbol_candidate_analysis.txt
opening_range_breakout__5m_overlap,Opening range breakout [5m_overlap],single,5.87299,5,60.00000,2.59496,0.00548,2.95626,-3.10766,5.71757,10.95140,2,3.26307,999.00000,2,artifacts\xauusd_opening_range_breakout_5m_overlap_symbol_candidate_trades.csv,artifacts\xauusd_opening_range_breakout_5m_overlap_symbol_candidate_analysis.txt
xauusd_volatility_breakout__5m_overlap,XAUUSD-tuned volatility breakout [5m_overlap],single,6.44500,8,50.00000,2.99824,0.00264,4.76462,0.81332,6.29212,999.00000,1,-0.66045,0.46398,3,artifacts\xauusd_xauusd_volatility_breakout_5m_overlap_symbol_candidate_trades.csv,artifacts\xauusd_xauusd_volatility_breakout_5m_overlap_symbol_candidate_analysis.txt
trend__15m_europe,EMA trend continuation [15m_europe],single,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\xauusd_trend_15m_europe_symbol_candidate_trades.csv,artifacts\xauusd_trend_15m_europe_symbol_candidate_analysis.txt
momentum__15m_europe,Momentum confirmation [15m_europe],single,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\xauusd_momentum_15m_europe_symbol_candidate_trades.csv,artifacts\xauusd_momentum_15m_europe_symbol_candidate_analysis.txt
mean_reversion__15m_europe,Intraday mean reversion [15m_europe],single,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\xauusd_mean_reversion_15m_europe_symbol_candidate_trades.csv,artifacts\xauusd_mean_reversion_15m_europe_symbol_candidate_analysis.txt
volatility_breakout__15m_europe,Generic volatility breakout [15m_europe],single,-3.64714,4,25.00000,0.42442,0.01227,2.37771,-6.54157,-0.51067,0.00000,1,0.46859,999.00000,1,artifacts\xauusd_volatility_breakout_15m_europe_symbol_candidate_trades.csv,artifacts\xauusd_volatility_breakout_15m_europe_symbol_candidate_analysis.txt
opening_range_breakout__15m_europe,Opening range breakout [15m_europe],single,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\xauusd_opening_range_breakout_15m_europe_symbol_candidate_trades.csv,artifacts\xauusd_opening_range_breakout_15m_europe_symbol_candidate_analysis.txt
xauusd_volatility_breakout__15m_europe,XAUUSD-tuned volatility breakout [15m_europe],single,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\xauusd_xauusd_volatility_breakout_15m_europe_symbol_candidate_trades.csv,artifacts\xauusd_xauusd_volatility_breakout_15m_europe_symbol_candidate_analysis.txt
trend__15m_us,EMA trend continuation [15m_us],single,3.30056,5,40.00000,1.97745,0.00453,2.97048,1.56165,-0.39548,0.00000,1,4.96970,35.06433,2,artifacts\xauusd_trend_15m_us_symbol_candidate_trades.csv,artifacts\xauusd_trend_15m_us_symbol_candidate_analysis.txt
momentum__15m_us,Momentum confirmation [15m_us],single,-5.41840,7,42.85714,0.71031,0.01123,4.15103,-0.60224,-7.94195,0.00000,2,3.12579,2.31277,2,artifacts\xauusd_momentum_15m_us_symbol_candidate_trades.csv,artifacts\xauusd_momentum_15m_us_symbol_candidate_analysis.txt
mean_reversion__15m_us,Intraday mean reversion [15m_us],single,-9.83772,6,16.66667,0.44165,0.01961,3.57725,-16.71305,-0.90628,0.00000,1,7.78161,999.00000,1,artifacts\xauusd_mean_reversion_15m_us_symbol_candidate_trades.csv,artifacts\xauusd_mean_reversion_15m_us_symbol_candidate_analysis.txt
volatility_breakout__15m_us,Generic volatility breakout [15m_us],single,4.89414,7,42.85714,2.19430,0.00082,4.17261,4.30218,-0.71946,0.00000,2,1.31142,999.00000,1,artifacts\xauusd_volatility_breakout_15m_us_symbol_candidate_trades.csv,artifacts\xauusd_volatility_breakout_15m_us_symbol_candidate_analysis.txt
opening_range_breakout__15m_us,Opening range breakout [15m_us],single,0.75157,3,33.33333,1.17886,0.00329,1.77134,-2.99855,4.95363,999.00000,1,-1.20351,0.00000,1,artifacts\xauusd_opening_range_breakout_15m_us_symbol_candidate_trades.csv,artifacts\xauusd_opening_range_breakout_15m_us_symbol_candidate_analysis.txt
xauusd_volatility_breakout__15m_us,XAUUSD-tuned volatility breakout [15m_us],single,-5.11994,6,16.66667,0.20391,0.00919,3.57964,-4.92614,-1.50523,0.00000,2,1.31142,999.00000,1,artifacts\xauusd_xauusd_volatility_breakout_15m_us_symbol_candidate_trades.csv,artifacts\xauusd_xauusd_volatility_breakout_15m_us_symbol_candidate_analysis.txt
trend__15m_overlap,EMA trend continuation [15m_overlap],single,25.75392,4,75.00000,12.04897,0.00263,2.37789,-2.33089,5.14186,999.00000,1,11.71035,999.00000,1,artifacts\xauusd_trend_15m_overlap_symbol_candidate_trades.csv,artifacts\xauusd_trend_15m_overlap_symbol_candidate_analysis.txt
momentum__15m_overlap,Momentum confirmation [15m_overlap],single,-2.52061,5,20.00000,0.83776,0.01535,2.96906,-10.71582,-2.54230,0.00000,1,10.73751,5.71337,2,artifacts\xauusd_momentum_15m_overlap_symbol_candidate_trades.csv,artifacts\xauusd_momentum_15m_overlap_symbol_candidate_analysis.txt
mean_reversion__15m_overlap,Intraday mean reversion [15m_overlap],single,-4.48874,4,25.00000,0.57144,0.01324,2.38156,-10.47402,5.98528,999.00000,1,0.00000,0.00000,0,artifacts\xauusd_mean_reversion_15m_overlap_symbol_candidate_trades.csv,artifacts\xauusd_mean_reversion_15m_overlap_symbol_candidate_analysis.txt
volatility_breakout__15m_overlap,Generic volatility breakout [15m_overlap],single,-2.81791,3,33.33333,0.24454,0.00457,1.78560,-0.02515,1.43697,1.38786,2,13.01561,999.00000,1,artifacts\xauusd_volatility_breakout_15m_overlap_symbol_candidate_trades.csv,artifacts\xauusd_volatility_breakout_15m_overlap_symbol_candidate_analysis.txt
opening_range_breakout__15m_overlap,Opening range breakout [15m_overlap],single,0.75157,3,33.33333,1.17886,0.00329,1.77134,-2.99855,4.95363,999.00000,1,-1.20351,0.00000,1,artifacts\xauusd_opening_range_breakout_15m_overlap_symbol_candidate_trades.csv,artifacts\xauusd_opening_range_breakout_15m_overlap_symbol_candidate_analysis.txt
xauusd_volatility_breakout__15m_overlap,XAUUSD-tuned volatility breakout [15m_overlap],single,0.88698,2,50.00000,36.27102,0.00057,1.19438,-0.02515,5.14186,999.00000,1,13.01561,999.00000,1,artifacts\xauusd_xauusd_volatility_breakout_15m_overlap_symbol_candidate_trades.csv,artifacts\xauusd_xauusd_volatility_breakout_15m_overlap_symbol_candidate_analysis.txt
xauusd_volatility_breakout_looser,XAUUSD breakout with slightly looser entries and softer exits,auto_improved,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\xauusd_xauusd_volatility_breakout_looser_symbol_candidate_trades.csv,artifacts\xauusd_xauusd_volatility_breakout_looser_symbol_candidate_analysis.txt
xauusd_generic_breakout_selective,XAUUSD generic breakout with tighter trade filtering,auto_improved,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\xauusd_xauusd_generic_breakout_selective_symbol_candidate_trades.csv,artifacts\xauusd_xauusd_generic_breakout_selective_symbol_candidate_analysis.txt
xauusd_volatility_breakout_exit_relaxed,XAUUSD breakout with relaxed structure exit after autopsy,auto_second_pass,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\xauusd_xauusd_volatility_breakout_exit_relaxed_symbol_candidate_trades.csv,artifacts\xauusd_xauusd_volatility_breakout_exit_relaxed_symbol_candidate_analysis.txt
