name,description,archetype,realized_pnl,closed_trades,win_rate_pct,profit_factor,max_drawdown_pct,total_costs,expectancy,avg_win,avg_loss,payoff_ratio,avg_hold_bars,dominant_exit,dominant_exit_share_pct,component_count,combo_outperformance_score,combo_trade_overlap_pct,best_regime,best_regime_pnl,worst_regime,worst_regime_pnl,dominant_regime_share_pct,regime_filter_label,walk_forward_windows,walk_forward_pass_rate_pct,walk_forward_avg_validation_pnl,walk_forward_avg_test_pnl,walk_forward_avg_validation_pf,walk_forward_avg_test_pf,train_pnl,validation_pnl,validation_profit_factor,validation_closed_trades,test_pnl,test_profit_factor,test_closed_trades,trade_log_path,trade_analysis_path
forex_breakout_momentum__5m_overlap__exit_trend,Forex breakout momentum [5m_overlap] with trend-runner exits,entry_exit_family,135142.33112,12,50.00000,26.54383,1.55875,6.00000,11261.86093,23405.48951,-881.76766,26.54383,3974.83333,trailing_stop,50.00000,1,0.00000,0.00000,trend_flat_vol_high,130907.49655,trend_flat_vol_low,-2196.93681,75.00000,,2,50.00000,6452.65781,3711.83891,1.72750,1.16640,20863.84815,-8624.17948,0.23511,15,3157.29410,1.14744,28,artifacts\usdjpy_forex_breakout_momentum__5m_overlap__exit_trend_5m_overlap_symbol_candidate_trades.csv,artifacts\usdjpy_forex_breakout_momentum__5m_overlap__exit_trend_5m_overlap_symbol_candidate_analysis.txt
forex_breakout_momentum__5m_overlap__exit_fastfail,Forex breakout momentum [5m_overlap] with fast-fail exits,entry_exit_family,68311.24253,42,38.09524,3.92595,7.39298,21.00000,1626.45816,5728.62271,-897.95080,6.37966,869.73810,structure_exit,23.80952,1,0.00000,0.00000,trend_flat_vol_low,62262.70285,trend_flat_vol_mid,1266.66620,85.71429,,2,50.00000,5744.83340,18995.16778,1.60253,4.36322,81326.33126,-9529.84599,0.22429,16,-9892.25305,0.55673,28,artifacts\usdjpy_forex_breakout_momentum__5m_overlap__exit_fastfail_5m_overlap_symbol_candidate_trades.csv,artifacts\usdjpy_forex_breakout_momentum__5m_overlap__exit_fastfail_5m_overlap_symbol_candidate_analysis.txt
forex_short_trend_continuation__5m_overlap__exit_trend,Forex short trend continuation [5m_overlap] with trend-runner exits,entry_exit_family,3076.03290,5,40.00000,2.63225,2.64398,2.50000,615.20658,2480.28587,-628.17962,3.94837,7.20000,stop_loss,40.00000,1,0.00000,0.00000,trend_down_vol_low,4643.97501,trend_flat_vol_low,-1567.94212,80.00000,,2,0.00000,158.29837,2321.98751,499.50000,499.50000,-1567.94212,0.00000,0.00000,0,4643.97501,999.00000,1,artifacts\usdjpy_forex_short_trend_continuation__5m_overlap__exit_trend_5m_overlap_symbol_candidate_trades.csv,artifacts\usdjpy_forex_short_trend_continuation__5m_overlap__exit_trend_5m_overlap_symbol_candidate_analysis.txt
forex_short_trend_continuation__5m_overlap__exit_fastfail,Forex short trend continuation [5m_overlap] with fast-fail exits,entry_exit_family,-304.00597,5,20.00000,0.88732,2.69790,2.50000,-60.80119,2393.89694,-674.47573,3.54927,2.00000,stop_loss,40.00000,1,0.00000,0.00000,trend_down_vol_low,2393.89694,trend_flat_vol_low,-2697.90290,80.00000,,2,0.00000,-406.68203,1196.94847,0.00000,499.50000,-2697.90290,0.00000,0.00000,0,2393.89694,999.00000,1,artifacts\usdjpy_forex_short_trend_continuation__5m_overlap__exit_fastfail_5m_overlap_symbol_candidate_trades.csv,artifacts\usdjpy_forex_short_trend_continuation__5m_overlap__exit_fastfail_5m_overlap_symbol_candidate_analysis.txt
forex_short_breakdown_momentum__5m_overlap__exit_trend,Forex short breakdown momentum [5m_overlap] with trend-runner exits,entry_exit_family,-8214.26824,14,21.42857,0.38881,8.54181,7.25000,-586.73345,1741.86330,-1221.80529,1.42565,9.07143,stop_loss,42.85714,1,0.00000,0.00000,trend_flat_vol_mid,-188.80286,trend_flat_vol_low,-7637.67790,85.71429,,2,0.00000,20909.86980,-5315.67720,2.65748,0.61807,-8618.33099,48473.01621,4.75067,16,-6695.16299,0.45881,21,artifacts\usdjpy_forex_short_breakdown_momentum__5m_overlap__exit_trend_5m_overlap_symbol_candidate_trades.csv,artifacts\usdjpy_forex_short_breakdown_momentum__5m_overlap__exit_trend_5m_overlap_symbol_candidate_analysis.txt
forex_short_breakdown_momentum__5m_overlap__exit_fastfail,Forex short breakdown momentum [5m_overlap] with fast-fail exits,entry_exit_family,-9853.87362,13,15.38462,0.20579,10.70179,6.75000,-757.99028,1276.61269,-1127.91809,1.13183,5.84615,structure_exit,30.76923,1,0.00000,0.00000,trend_flat_vol_mid,-188.80286,trend_flat_vol_low,-9277.28327,84.61538,,2,0.00000,-8536.28553,-2471.79949,0.31027,0.77592,28243.03057,-8522.73797,0.23900,15,-5505.04050,0.51917,21,artifacts\usdjpy_forex_short_breakdown_momentum__5m_overlap__exit_fastfail_5m_overlap_symbol_candidate_trades.csv,artifacts\usdjpy_forex_short_breakdown_momentum__5m_overlap__exit_fastfail_5m_overlap_symbol_candidate_analysis.txt
forex_trend_continuation__15m_europe,Forex trend continuation [15m_europe],single,-2571.42326,7,14.28571,0.29285,2.57142,3.50000,-367.34618,1064.88004,-606.05055,1.75708,3.28571,trailing_stop,42.85714,1,0.00000,0.00000,trend_up_vol_low,-294.18163,trend_flat_vol_mid,-1206.01492,71.42857,,2,0.00000,-1136.19384,-634.91675,0.00000,0.69484,-1403.32012,-1066.37277,0.00000,2,-101.73037,0.91280,2,artifacts\usdjpy_forex_trend_continuation__15m_europe_15m_europe_symbol_candidate_trades.csv,artifacts\usdjpy_forex_trend_continuation__15m_europe_15m_europe_symbol_candidate_analysis.txt
forex_range_reversion__15m_europe,Forex range reversion [15m_europe],single,-2923.65618,5,20.00000,0.05918,2.98804,2.50000,-584.73124,183.89520,-776.88784,0.23671,2.80000,signal_exit,60.00000,1,0.00000,0.00000,trend_flat_vol_low,-2923.65618,trend_flat_vol_low,-2923.65618,100.00000,,2,0.00000,-1029.19499,-1189.51008,499.50000,0.00000,-544.63601,-2242.28518,0.00000,1,-136.73498,0.00000,1,artifacts\usdjpy_forex_range_reversion__15m_europe_15m_europe_symbol_candidate_trades.csv,artifacts\usdjpy_forex_range_reversion__15m_europe_15m_europe_symbol_candidate_analysis.txt
forex_breakout_momentum__15m_europe,Forex breakout momentum [15m_europe],single,29945.28341,29,27.58621,2.23190,10.10906,14.50000,1032.59598,6781.68548,-1157.53335,5.85874,152.37931,trailing_stop,34.48276,1,0.00000,0.00000,trend_flat_vol_mid,36878.36916,trend_flat_vol_low,-6933.08575,72.41379,,2,0.00000,-8758.50123,97.79706,0.24737,0.91142,-9683.87438,-10017.22775,0.24243,11,-3126.62581,0.49291,8,artifacts\usdjpy_forex_breakout_momentum__15m_europe_15m_europe_symbol_candidate_trades.csv,artifacts\usdjpy_forex_breakout_momentum__15m_europe_15m_europe_symbol_candidate_analysis.txt
forex_short_trend_continuation__15m_europe,Forex short trend continuation [15m_europe],single,-2671.58066,5,20.00000,0.17035,2.67158,2.50000,-534.31613,548.54246,-805.03078,0.68139,3.20000,structure_exit,60.00000,1,0.00000,0.00000,trend_flat_vol_low,-2671.58066,trend_flat_vol_low,-2671.58066,100.00000,,2,0.00000,-1095.78381,0.00000,0.00000,0.00000,-1611.54388,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\usdjpy_forex_short_trend_continuation__15m_europe_15m_europe_symbol_candidate_trades.csv,artifacts\usdjpy_forex_short_trend_continuation__15m_europe_15m_europe_symbol_candidate_analysis.txt
