name,description,archetype,realized_pnl,closed_trades,win_rate_pct,profit_factor,max_drawdown_pct,total_costs,expectancy,avg_win,avg_loss,payoff_ratio,avg_hold_bars,dominant_exit,dominant_exit_share_pct,component_count,combo_outperformance_score,combo_trade_overlap_pct,best_regime,best_regime_pnl,worst_regime,worst_regime_pnl,dominant_regime_share_pct,regime_filter_label,walk_forward_windows,walk_forward_pass_rate_pct,walk_forward_avg_validation_pnl,walk_forward_avg_test_pnl,walk_forward_avg_validation_pf,walk_forward_avg_test_pf,train_pnl,validation_pnl,validation_profit_factor,validation_closed_trades,test_pnl,test_profit_factor,test_closed_trades,trade_log_path,trade_analysis_path
crypto_volatility_breakout__5m_all__exit_fastfail,24/7 crypto volatility breakout [5m_all] with fast-fail exits,entry_exit_family,-857.97079,65,12.30769,0.28167,0.92906,123.40105,-13.19955,42.05316,-20.95432,2.00690,7.95385,signal_exit,38.46154,1,0.00000,0.00000,trend_flat_vol_mid,-88.99848,trend_up_vol_high,-536.46348,47.69231,,2,0.00000,-208.85720,-165.81038,0.00000,0.30502,-410.73177,-169.66102,0.00000,11,-153.93350,0.30135,13,artifacts\btc_crypto_volatility_breakout__5m_all__exit_fastfail_5m_all_symbol_candidate_trades.csv,artifacts\btc_crypto_volatility_breakout__5m_all__exit_fastfail_5m_all_symbol_candidate_analysis.txt
crypto_trend_pullback__5m_europe,Crypto trend pullback continuation [5m_europe],single,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,0.00000,,0.00000,0.00000,,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\btc_crypto_trend_pullback__5m_europe_5m_europe_symbol_candidate_trades.csv,artifacts\btc_crypto_trend_pullback__5m_europe_5m_europe_symbol_candidate_analysis.txt
crypto_breakout_reclaim__5m_europe,Crypto breakout reclaim [5m_europe],single,-7.56798,4,50.00000,0.72535,0.04441,7.80246,-1.89199,9.99342,-13.77741,0.72535,10.50000,signal_exit,75.00000,1,0.00000,0.00000,trend_flat_vol_high,1.32717,trend_up_vol_high,-5.02465,50.00000,,2,0.00000,-18.33501,-74.49190,0.30534,0.00000,19.25749,-29.61730,0.06464,2,-77.23504,0.00000,3,artifacts\btc_crypto_breakout_reclaim__5m_europe_5m_europe_symbol_candidate_trades.csv,artifacts\btc_crypto_breakout_reclaim__5m_europe_5m_europe_symbol_candidate_analysis.txt
crypto_volatility_expansion__5m_europe,Crypto volatility expansion [5m_europe],single,160.74280,8,25.00000,1.90579,0.05956,15.25271,20.09285,169.10219,-29.57693,5.71737,16.37500,stale_breakout,37.50000,1,0.00000,0.00000,trend_up_vol_high,160.74280,trend_up_vol_high,160.74280,100.00000,,2,0.00000,-22.38283,-2.64249,0.00000,0.00000,45.16701,0.00000,0.00000,0,-5.28499,0.00000,1,artifacts\btc_crypto_volatility_expansion__5m_europe_5m_europe_symbol_candidate_trades.csv,artifacts\btc_crypto_volatility_expansion__5m_europe_5m_europe_symbol_candidate_analysis.txt
crypto_volatility_breakout__5m_europe,24/7 crypto volatility breakout [5m_europe],single,169.53089,17,17.64706,1.73543,0.12813,32.40072,9.97241,133.35054,-16.46577,8.09865,9.70588,signal_exit,58.82353,1,0.00000,0.00000,trend_up_vol_high,289.12036,trend_up_vol_mid,-61.84866,47.05882,,2,0.00000,-25.13033,203.74106,499.51883,502.89241,7.01148,2.04668,999.00000,1,187.53210,6.78483,3,artifacts\btc_crypto_volatility_breakout__5m_europe_5m_europe_symbol_candidate_trades.csv,artifacts\btc_crypto_volatility_breakout__5m_europe_5m_europe_symbol_candidate_analysis.txt
crypto_trend_pullback__5m_europe__exit_trend,Crypto trend pullback continuation [5m_europe] with trend-runner exits,entry_exit_family,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,0.00000,,0.00000,0.00000,,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\btc_crypto_trend_pullback__5m_europe__exit_trend_5m_europe_symbol_candidate_trades.csv,artifacts\btc_crypto_trend_pullback__5m_europe__exit_trend_5m_europe_symbol_candidate_analysis.txt
crypto_trend_pullback__5m_europe__exit_fastfail,Crypto trend pullback continuation [5m_europe] with fast-fail exits,entry_exit_family,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,0.00000,,0.00000,0.00000,,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\btc_crypto_trend_pullback__5m_europe__exit_fastfail_5m_europe_symbol_candidate_trades.csv,artifacts\btc_crypto_trend_pullback__5m_europe__exit_fastfail_5m_europe_symbol_candidate_analysis.txt
crypto_breakout_reclaim__5m_europe__exit_trend,Crypto breakout reclaim [5m_europe] with trend-runner exits,entry_exit_family,-7.56798,4,50.00000,0.72535,0.04441,7.80246,-1.89199,9.99342,-13.77741,0.72535,10.50000,signal_exit,75.00000,1,0.00000,0.00000,trend_flat_vol_high,1.32717,trend_up_vol_high,-5.02465,50.00000,,2,0.00000,-28.05209,-74.49190,0.06818,0.00000,19.25749,-29.61730,0.06464,2,-77.23504,0.00000,3,artifacts\btc_crypto_breakout_reclaim__5m_europe__exit_trend_5m_europe_symbol_candidate_trades.csv,artifacts\btc_crypto_breakout_reclaim__5m_europe__exit_trend_5m_europe_symbol_candidate_analysis.txt
crypto_breakout_reclaim__5m_europe__exit_fastfail,Crypto breakout reclaim [5m_europe] with fast-fail exits,entry_exit_family,22.71793,4,50.00000,1.82446,0.04441,7.80549,5.67948,25.13637,-13.77741,1.82446,5.25000,signal_exit,75.00000,1,0.00000,0.00000,trend_up_vol_high,25.26126,trend_down_vol_high,-3.87050,50.00000,,2,0.00000,-25.20095,-74.36994,0.15810,0.00000,68.67266,-36.48324,0.00000,2,-76.99111,0.00000,3,artifacts\btc_crypto_breakout_reclaim__5m_europe__exit_fastfail_5m_europe_symbol_candidate_trades.csv,artifacts\btc_crypto_breakout_reclaim__5m_europe__exit_fastfail_5m_europe_symbol_candidate_analysis.txt
crypto_volatility_expansion__5m_europe__exit_trend,Crypto volatility expansion [5m_europe] with trend-runner exits,entry_exit_family,160.74280,8,25.00000,1.90579,0.05956,15.25271,20.09285,169.10219,-29.57693,5.71737,16.37500,stale_breakout,62.50000,1,0.00000,0.00000,trend_up_vol_high,160.74280,trend_up_vol_high,160.74280,100.00000,,2,0.00000,-22.38283,-2.64249,0.00000,0.00000,45.16701,0.00000,0.00000,0,-5.28499,0.00000,1,artifacts\btc_crypto_volatility_expansion__5m_europe__exit_trend_5m_europe_symbol_candidate_trades.csv,artifacts\btc_crypto_volatility_expansion__5m_europe__exit_trend_5m_europe_symbol_candidate_analysis.txt
