name,description,archetype,realized_pnl,closed_trades,win_rate_pct,profit_factor,max_drawdown_pct,total_costs,expectancy,avg_win,avg_loss,payoff_ratio,avg_hold_bars,dominant_exit,dominant_exit_share_pct,component_count,combo_outperformance_score,combo_trade_overlap_pct,best_regime,best_regime_pnl,worst_regime,worst_regime_pnl,dominant_regime_share_pct,regime_filter_label,walk_forward_windows,walk_forward_pass_rate_pct,walk_forward_avg_validation_pnl,walk_forward_avg_test_pnl,walk_forward_avg_validation_pf,walk_forward_avg_test_pf,train_pnl,validation_pnl,validation_profit_factor,validation_closed_trades,test_pnl,test_profit_factor,test_closed_trades,trade_log_path,trade_analysis_path
forex_breakout_momentum__15m_overlap__exit_fastfail,Forex breakout momentum [15m_overlap] with fast-fail exits,entry_exit_family,-93.99148,42,33.33333,0.79845,0.19953,21.00000,-2.23789,26.59580,-16.65474,1.59689,5.23810,structure_exit,26.19048,1,0.00000,0.00000,trend_flat_vol_low,105.31005,trend_flat_vol_mid,-102.58990,45.23810,,2,0.00000,79.03265,-98.32586,3.30440,0.30847,-64.13890,-17.12697,0.65367,8,-67.60536,0.49912,9,artifacts\eurusd_forex_breakout_momentum__15m_overlap__exit_fastfail_15m_overlap_symbol_candidate_trades.csv,artifacts\eurusd_forex_breakout_momentum__15m_overlap__exit_fastfail_15m_overlap_symbol_candidate_analysis.txt
forex_short_trend_continuation__15m_overlap__exit_trend,Forex short trend continuation [15m_overlap] with trend-runner exits,entry_exit_family,26.96032,4,50.00000,6.30693,0.00000,2.00000,6.74008,16.02027,-2.54011,6.30693,10.50000,trailing_stop,50.00000,1,0.00000,0.00000,trend_flat_vol_low,29.55072,trend_flat_vol_mid,-2.59040,75.00000,,2,0.00000,2.52841,8.41164,1.49770,499.50000,15.21725,-5.08021,0.00000,2,16.82329,999.00000,1,artifacts\eurusd_forex_short_trend_continuation__15m_overlap__exit_trend_15m_overlap_symbol_candidate_trades.csv,artifacts\eurusd_forex_short_trend_continuation__15m_overlap__exit_trend_15m_overlap_symbol_candidate_analysis.txt
forex_short_trend_continuation__15m_overlap__exit_fastfail,Forex short trend continuation [15m_overlap] with fast-fail exits,entry_exit_family,56.07856,5,80.00000,22.64863,0.00000,2.50000,11.21571,14.66724,-2.59040,5.66216,6.60000,take_profit,40.00000,1,0.00000,0.00000,trend_flat_vol_low,58.66895,trend_flat_vol_mid,-2.59040,80.00000,,2,0.00000,9.48734,19.26191,4.66250,499.50000,16.13478,1.41995,1.54816,2,38.52383,999.00000,1,artifacts\eurusd_forex_short_trend_continuation__15m_overlap__exit_fastfail_15m_overlap_symbol_candidate_trades.csv,artifacts\eurusd_forex_short_trend_continuation__15m_overlap__exit_fastfail_15m_overlap_symbol_candidate_analysis.txt
forex_short_breakdown_momentum__15m_overlap__exit_trend,Forex short breakdown momentum [15m_overlap] with trend-runner exits,entry_exit_family,-282.77761,66,22.72727,0.61575,0.29632,33.00000,-4.28451,30.21000,-14.42995,2.09356,7.59091,stop_loss,30.30303,1,0.00000,0.00000,trend_down_vol_mid,76.45476,trend_flat_vol_mid,-145.90813,57.57576,,2,0.00000,-100.72009,-22.41144,0.44100,0.86979,-129.14239,-80.18476,0.53223,14,2.39841,1.01769,13,artifacts\eurusd_forex_short_breakdown_momentum__15m_overlap__exit_trend_15m_overlap_symbol_candidate_trades.csv,artifacts\eurusd_forex_short_breakdown_momentum__15m_overlap__exit_trend_15m_overlap_symbol_candidate_analysis.txt
forex_short_breakdown_momentum__15m_overlap__exit_fastfail,Forex short breakdown momentum [15m_overlap] with fast-fail exits,entry_exit_family,-136.03917,73,23.28767,0.77722,0.29970,36.50000,-1.86355,27.91771,-10.90429,2.56025,5.20548,structure_exit,34.24658,1,0.00000,0.00000,trend_down_vol_mid,114.65381,trend_flat_vol_high,-112.44673,57.53425,,2,0.00000,-97.04697,95.50486,0.43977,1.99306,-155.55937,-81.47516,0.49710,15,152.52232,2.70432,14,artifacts\eurusd_forex_short_breakdown_momentum__15m_overlap__exit_fastfail_15m_overlap_symbol_candidate_trades.csv,artifacts\eurusd_forex_short_breakdown_momentum__15m_overlap__exit_fastfail_15m_overlap_symbol_candidate_analysis.txt
forex_trend_continuation_looser,Forex trend continuation with higher trade density,auto_improved,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,0.00000,,0.00000,0.00000,,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\eurusd_forex_trend_continuation_looser_symbol_candidate_trades.csv,artifacts\eurusd_forex_trend_continuation_looser_symbol_candidate_analysis.txt
forex_breakout_momentum_patient,Forex breakout momentum with slower exits,auto_improved,28.31175,49,40.81633,1.04968,0.10119,24.50000,0.57779,29.90786,-19.64984,1.52204,7.63265,stop_loss,34.69388,1,0.00000,0.00000,trend_flat_vol_mid,115.50044,trend_flat_vol_low,-127.36157,69.38776,,2,0.00000,42.74305,-21.13962,1.33027,0.90782,5.81104,-2.93901,0.97794,9,55.30203,1.55532,9,artifacts\eurusd_forex_breakout_momentum_patient_symbol_candidate_trades.csv,artifacts\eurusd_forex_breakout_momentum_patient_symbol_candidate_analysis.txt
forex_short_breakdown_momentum__15m_europe__exit_trend__regime_trend_flat_vol_mid,Forex short breakdown momentum [15m_europe] with trend-runner exits focused on trend_flat_vol_mid,regime_improved,72.60171,4,75.00000,4.08006,0.00000,2.00000,18.15043,32.05775,-23.57155,1.36002,4.00000,take_profit,25.00000,1,0.00000,0.00000,trend_flat_vol_mid,72.60171,trend_flat_vol_mid,72.60171,100.00000,trend_flat_vol_mid,2,0.00000,5.07690,1.16309,0.71538,499.50000,54.52187,0.00000,0.00000,0,2.32618,999.00000,1,artifacts\eurusd_forex_short_breakdown_momentum__15m_europe__exit_trend__regime_trend_flat_vol_mid_symbol_candidate_trades.csv,artifacts\eurusd_forex_short_breakdown_momentum__15m_europe__exit_trend__regime_trend_flat_vol_mid_symbol_candidate_analysis.txt
forex_short_breakdown_momentum__15m_europe__regime_trend_flat_vol_mid,Forex short breakdown momentum [15m_europe] focused on trend_flat_vol_mid,regime_improved,88.20132,4,75.00000,4.74186,0.00000,2.00000,22.05033,37.25762,-23.57155,1.58062,3.25000,take_profit,50.00000,1,0.00000,0.00000,trend_flat_vol_mid,88.20132,trend_flat_vol_mid,88.20132,100.00000,trend_flat_vol_mid,2,0.00000,5.07690,1.16309,0.71538,499.50000,54.52187,0.00000,0.00000,0,2.32618,999.00000,1,artifacts\eurusd_forex_short_breakdown_momentum__15m_europe__regime_trend_flat_vol_mid_symbol_candidate_trades.csv,artifacts\eurusd_forex_short_breakdown_momentum__15m_europe__regime_trend_flat_vol_mid_symbol_candidate_analysis.txt
forex_short_trend_continuation__15m_overlap__regime_trend_flat_vol_low,Forex short trend continuation [15m_overlap] focused on trend_flat_vol_low,regime_improved,41.87909,5,40.00000,3.23210,0.00178,2.50000,8.37582,30.32062,-6.25405,4.84816,9.40000,take_profit,40.00000,1,0.00000,0.00000,trend_flat_vol_low,41.87909,trend_flat_vol_low,41.87909,100.00000,trend_flat_vol_low,2,0.00000,5.09534,17.52183,1.31306,499.50000,0.00000,3.35526,1.17883,4,38.52383,999.00000,1,artifacts\eurusd_forex_short_trend_continuation__15m_overlap__regime_trend_flat_vol_low_symbol_candidate_trades.csv,artifacts\eurusd_forex_short_trend_continuation__15m_overlap__regime_trend_flat_vol_low_symbol_candidate_analysis.txt
