name,description,archetype,strategy_family,direction_mode,direction_role,realized_pnl,closed_trades,win_rate_pct,profit_factor,max_drawdown_pct,total_costs,expectancy,sharpe_ratio,sortino_ratio,calmar_ratio,avg_win,avg_loss,payoff_ratio,avg_hold_bars,dominant_exit,dominant_exit_share_pct,component_count,combo_outperformance_score,combo_trade_overlap_pct,best_regime,best_unified_regime,best_regime_pnl,worst_regime,worst_unified_regime,worst_regime_pnl,dominant_regime_share_pct,regime_stability_score,regime_loss_ratio,regime_trade_count_by_label,regime_pnl_by_label,regime_pf_by_label,regime_win_rate_by_label,regime_filter_label,broker_swap_available,broker_swap_long,broker_swap_short,broker_preferred_carry_side,broker_carry_spread,mc_simulations,mc_pnl_median,mc_pnl_p05,mc_pnl_p95,mc_max_drawdown_pct_median,mc_max_drawdown_pct_p95,mc_loss_probability_pct,walk_forward_windows,walk_forward_pass_rate_pct,walk_forward_avg_validation_pnl,walk_forward_avg_test_pnl,walk_forward_avg_validation_pf,walk_forward_avg_test_pf,train_pnl,validation_pnl,validation_profit_factor,validation_closed_trades,test_pnl,test_profit_factor,test_closed_trades,trade_log_path,trade_analysis_path
trend__5m_europe,EMA trend continuation [5m_europe],single,,,,13.00002,17,35.29412,1.80188,0.00106,0.00000,0.76471,0.16911,0.43888,12.25295,4.86866,-1.47381,3.30345,7.17647,stop_loss,35.29412,1,0.00000,0.00000,trend_up_vol_high,trend_expansion,16.36523,trend_down_vol_high,trend_expansion,-2.81007,70.58824,0.80021,0.17171,"{""trend_down_vol_high"": 1, ""trend_down_vol_mid"": 1, ""trend_up_vol_high"": 2, ""trend_up_vol_low"": 1, ""trend_up_vol_mid"": 12}","{""trend_down_vol_high"": -2.810071032228916, ""trend_down_vol_mid"": -0.7131409090150556, ""trend_up_vol_high"": 16.36523014488903, ""trend_up_vol_low"": -0.802661075078595, ""trend_up_vol_mid"": 0.960666495491296}","{""trend_down_vol_high"": 0.0, ""trend_down_vol_mid"": 0.0, ""trend_up_vol_high"": 999.0, ""trend_up_vol_low"": 0.0, ""trend_up_vol_mid"": 1.0808229918956982}","{""trend_down_vol_high"": 0.0, ""trend_down_vol_mid"": 0.0, ""trend_up_vol_high"": 100.0, ""trend_up_vol_low"": 0.0, ""trend_up_vol_mid"": 33.33333333333333}",,1,552.00000,-661.07000,long,1213.07000,500,10.47776,-13.90633,43.15852,0.00887,0.01862,29.80000,2,50.00000,2.86045,-0.42788,502.22293,2.50285,-0.44611,4.93211,5.44586,3,1.49403,4.38839,3,artifacts\research\eu50\candidates\trend__5m_europe_5m_europe_symbol_candidate_trades.csv,artifacts\research\eu50\candidates\trend__5m_europe_5m_europe_symbol_candidate_analysis.txt
momentum__5m_europe,Momentum confirmation [5m_europe],single,,,,21.25970,12,66.66667,3.24517,0.00106,0.00000,1.77164,0.34084,0.53680,20.03796,3.84110,-2.36727,1.62258,6.91667,take_profit,41.66667,1,0.00000,0.00000,trend_up_vol_high,trend_expansion,15.71795,trend_flat_vol_mid,orderly_range,-5.01527,41.66667,0.83972,0.31908,"{""trend_flat_vol_high"": 1, ""trend_flat_vol_mid"": 4, ""trend_up_vol_high"": 1, ""trend_up_vol_low"": 1, ""trend_up_vol_mid"": 5}","{""trend_flat_vol_high"": 2.247421106424099, ""trend_flat_vol_mid"": -5.015272457775064, ""trend_up_vol_high"": 15.717950425996788, ""trend_up_vol_low"": 2.2878700118380038, ""trend_up_vol_mid"": 6.021727137069684}","{""trend_flat_vol_high"": 999.0, ""trend_flat_vol_mid"": 0.33532114711776473, ""trend_up_vol_high"": 999.0, ""trend_up_vol_low"": 999.0, ""trend_up_vol_mid"": 4.130318852216092}","{""trend_flat_vol_high"": 100.0, ""trend_flat_vol_mid"": 50.0, ""trend_up_vol_high"": 100.0, ""trend_up_vol_low"": 100.0, ""trend_up_vol_mid"": 60.0}",,1,552.00000,-661.07000,long,1213.07000,500,21.09236,-3.09819,53.90720,0.00634,0.01389,8.40000,2,50.00000,1.20570,4.07290,500.73132,501.76248,0.19814,1.62262,2.46265,3,4.23532,999.00000,2,artifacts\research\eu50\candidates\momentum__5m_europe_5m_europe_symbol_candidate_trades.csv,artifacts\research\eu50\candidates\momentum__5m_europe_5m_europe_symbol_candidate_analysis.txt
mean_reversion__5m_europe,Intraday mean reversion [5m_europe],single,,,,-5.72275,7,14.28571,0.03224,0.00572,0.00000,-0.81754,-1.08635,-0.70623,-1.00000,0.19063,-0.98556,0.19342,3.42857,structure_exit,57.14286,1,0.00000,0.00000,trend_down_vol_high,trend_expansion,0.19063,trend_flat_vol_mid,orderly_range,-3.73082,42.85714,0.03123,19.57077,"{""trend_down_vol_high"": 1, ""trend_down_vol_mid"": 2, ""trend_flat_vol_low"": 1, ""trend_flat_vol_mid"": 3}","{""trend_down_vol_high"": 0.19063237074215067, ""trend_down_vol_mid"": -1.3221886489819554, ""trend_flat_vol_low"": -0.8603670623738253, ""trend_flat_vol_mid"": -3.730822830418129}","{""trend_down_vol_high"": 999.0, ""trend_down_vol_mid"": 0.0, ""trend_flat_vol_low"": 0.0, ""trend_flat_vol_mid"": 0.0}","{""trend_down_vol_high"": 100.0, ""trend_down_vol_mid"": 0.0, ""trend_flat_vol_low"": 0.0, ""trend_flat_vol_mid"": 0.0}",,1,552.00000,-661.07000,long,1213.07000,500,-5.66908,-8.76079,-2.67177,0.00572,0.00877,100.00000,2,0.00000,-0.39008,-0.86037,0.00000,0.00000,-4.69293,-0.42007,0.00000,1,-0.86037,0.00000,1,artifacts\research\eu50\candidates\mean_reversion__5m_europe_5m_europe_symbol_candidate_trades.csv,artifacts\research\eu50\candidates\mean_reversion__5m_europe_5m_europe_symbol_candidate_analysis.txt
volatility_breakout__5m_europe,Generic volatility breakout [5m_europe],single,,,,24.74850,8,62.50000,13.62941,0.00106,0.00000,3.09356,0.55514,3.77619,23.32627,5.34162,-0.65320,8.17765,10.62500,take_profit,50.00000,1,0.00000,0.00000,trend_up_vol_high,trend_expansion,14.97662,trend_up_vol_mid,orderly_trend,1.61688,50.00000,1.00000,0.00000,"{""trend_flat_vol_mid"": 1, ""trend_up_vol_high"": 2, ""trend_up_vol_low"": 1, ""trend_up_vol_mid"": 4}","{""trend_flat_vol_mid"": 2.4885751821532724, ""trend_up_vol_high"": 14.976618393717855, ""trend_up_vol_low"": 5.666422556980251, ""trend_up_vol_mid"": 1.6168810510701408}","{""trend_flat_vol_mid"": 999.0, ""trend_up_vol_high"": 21.202308468552403, ""trend_up_vol_low"": 999.0, ""trend_up_vol_mid"": 2.327205407320062}","{""trend_flat_vol_mid"": 100.0, ""trend_up_vol_high"": 50.0, ""trend_up_vol_low"": 100.0, ""trend_up_vol_mid"": 50.0}",,1,552.00000,-661.07000,long,1213.07000,500,23.70157,4.22395,53.52759,0.00121,0.00316,0.80000,2,0.00000,-0.97980,0.70228,0.00000,499.58375,8.11360,-1.21826,0.00000,2,2.83514,999.00000,2,artifacts\research\eu50\candidates\volatility_breakout__5m_europe_5m_europe_symbol_candidate_trades.csv,artifacts\research\eu50\candidates\volatility_breakout__5m_europe_5m_europe_symbol_candidate_analysis.txt
opening_range_breakout__5m_europe,Opening range breakout [5m_europe],single,,,,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,552.00000,-661.07000,long,1213.07000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\eu50\candidates\opening_range_breakout__5m_europe_5m_europe_symbol_candidate_trades.csv,artifacts\research\eu50\candidates\opening_range_breakout__5m_europe_5m_europe_symbol_candidate_analysis.txt
volatility_short_breakdown__5m_europe,Generic short volatility breakdown [5m_europe],single,,,,-7.15669,16,31.25000,0.50427,0.01020,0.00000,-0.44729,-0.28769,-0.28185,-0.70166,1.45602,-1.31243,1.10940,6.50000,structure_exit,31.25000,1,0.00000,0.00000,trend_down_vol_low,orderly_trend,1.39176,trend_down_vol_high,trend_expansion,-4.82560,31.25000,0.21864,3.46727,"{""trend_down_vol_high"": 4, ""trend_down_vol_low"": 1, ""trend_down_vol_mid"": 5, ""trend_flat_vol_high"": 1, ""trend_flat_vol_mid"": 4, ""trend_up_vol_low"": 1}","{""trend_down_vol_high"": -4.82559801590578, ""trend_down_vol_low"": 1.3917581689647704, ""trend_down_vol_mid"": -2.957749729062562, ""trend_flat_vol_high"": -0.460847779982214, ""trend_flat_vol_mid"": -1.6932099671540528, ""trend_up_vol_low"": 1.388955161145168}","{""trend_down_vol_high"": 0.1527873498743599, ""trend_down_vol_low"": 999.0, ""trend_down_vol_mid"": 0.44149207509526284, ""trend_flat_vol_high"": 0.0, ""trend_flat_vol_mid"": 0.43262038682365794, ""trend_up_vol_low"": 999.0}","{""trend_down_vol_high"": 25.0, ""trend_down_vol_low"": 100.0, ""trend_down_vol_mid"": 20.0, ""trend_flat_vol_high"": 0.0, ""trend_flat_vol_mid"": 25.0, ""trend_up_vol_low"": 100.0}",,1,552.00000,-661.07000,long,1213.07000,500,-7.34981,-17.45805,3.02290,0.00970,0.01820,89.40000,2,0.00000,1.63793,0.00000,500.04902,0.00000,-3.86005,3.08290,999.00000,3,0.00000,0.00000,0,artifacts\research\eu50\candidates\volatility_short_breakdown__5m_europe_5m_europe_symbol_candidate_trades.csv,artifacts\research\eu50\candidates\volatility_short_breakdown__5m_europe_5m_europe_symbol_candidate_analysis.txt
opening_range_short_breakdown__5m_europe,Opening range short breakdown [5m_europe],single,,,,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,552.00000,-661.07000,long,1213.07000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\eu50\candidates\opening_range_short_breakdown__5m_europe_5m_europe_symbol_candidate_trades.csv,artifacts\research\eu50\candidates\opening_range_short_breakdown__5m_europe_5m_europe_symbol_candidate_analysis.txt
trend__5m_europe__exit_trend,EMA trend continuation [5m_europe] with trend-runner exits,entry_exit_family,,,,12.19795,17,41.17647,1.77192,0.00106,0.00000,0.71753,0.16091,0.39443,11.49697,4.00002,-1.58022,2.53131,6.94118,stop_loss,47.05882,1,0.00000,0.00000,trend_up_vol_high,trend_expansion,16.36523,trend_down_vol_high,trend_expansion,-2.81007,58.82353,0.76467,0.17171,"{""trend_down_vol_high"": 1, ""trend_down_vol_mid"": 1, ""trend_up_vol_high"": 2, ""trend_up_vol_low"": 3, ""trend_up_vol_mid"": 10}","{""trend_down_vol_high"": -2.810071032228916, ""trend_down_vol_mid"": -2.612973011320901, ""trend_up_vol_high"": 16.36523014488903, ""trend_up_vol_low"": 0.3729198876239932, ""trend_up_vol_mid"": 0.8828410057200018}","{""trend_down_vol_high"": 0.0, ""trend_down_vol_mid"": 0.0, ""trend_up_vol_high"": 999.0, ""trend_up_vol_low"": 1.194741305743959, ""trend_up_vol_mid"": 1.104303077999114}","{""trend_down_vol_high"": 0.0, ""trend_down_vol_mid"": 0.0, ""trend_up_vol_high"": 100.0, ""trend_up_vol_low"": 33.33333333333333, ""trend_up_vol_mid"": 40.0}",,1,552.00000,-661.07000,long,1213.07000,500,10.27831,-14.81959,40.74120,0.00901,0.01829,30.20000,2,0.00000,1.11060,0.12100,500.64560,0.87240,-2.34594,1.43242,2.29120,3,-0.20582,0.62790,3,artifacts\research\eu50\candidates\trend__5m_europe__exit_trend_5m_europe_symbol_candidate_trades.csv,artifacts\research\eu50\candidates\trend__5m_europe__exit_trend_5m_europe_symbol_candidate_analysis.txt
trend__5m_europe__exit_fastfail,EMA trend continuation [5m_europe] with fast-fail exits,entry_exit_family,,,,15.48848,18,33.33333,2.08134,0.00106,0.00000,0.86047,0.19982,0.58223,14.59840,4.96865,-1.19362,4.16268,6.22222,stop_loss,33.33333,1,0.00000,0.00000,trend_up_vol_high,trend_expansion,16.36523,trend_up_vol_low,orderly_trend,-0.80266,72.22222,0.89230,0.04905,"{""trend_down_vol_high"": 1, ""trend_down_vol_mid"": 1, ""trend_up_vol_high"": 2, ""trend_up_vol_low"": 1, ""trend_up_vol_mid"": 13}","{""trend_down_vol_high"": -0.6102654400852772, ""trend_down_vol_mid"": -0.7131409090150556, ""trend_up_vol_high"": 16.36523014488903, ""trend_up_vol_low"": -0.802661075078595, ""trend_up_vol_mid"": 1.2493194407870758}","{""trend_down_vol_high"": 0.0, ""trend_down_vol_mid"": 0.0, ""trend_up_vol_high"": 999.0, ""trend_up_vol_low"": 0.0, ""trend_up_vol_mid"": 1.1024254923849481}","{""trend_down_vol_high"": 0.0, ""trend_down_vol_mid"": 0.0, ""trend_up_vol_high"": 100.0, ""trend_up_vol_low"": 0.0, ""trend_up_vol_mid"": 30.76923076923077}",,1,552.00000,-661.07000,long,1213.07000,500,12.78350,-10.71051,45.31803,0.00713,0.01620,19.20000,2,50.00000,2.70475,-0.87779,3.62193,2.08782,3.54211,3.53224,4.18400,3,1.19406,3.70807,3,artifacts\research\eu50\candidates\trend__5m_europe__exit_fastfail_5m_europe_symbol_candidate_trades.csv,artifacts\research\eu50\candidates\trend__5m_europe__exit_fastfail_5m_europe_symbol_candidate_analysis.txt
momentum__5m_europe__exit_trend,Momentum confirmation [5m_europe] with trend-runner exits,entry_exit_family,,,,20.25978,12,66.66667,3.13957,0.00106,0.00000,1.68832,0.32358,0.51155,19.09551,3.71611,-2.36727,1.56979,7.25000,take_profit,33.33333,1,0.00000,0.00000,trend_up_vol_high,trend_expansion,15.71795,trend_flat_vol_mid,orderly_range,-6.61513,41.66667,0.80247,0.42086,"{""trend_flat_vol_high"": 1, ""trend_flat_vol_mid"": 4, ""trend_up_vol_high"": 1, ""trend_up_vol_low"": 1, ""trend_up_vol_mid"": 5}","{""trend_flat_vol_high"": 2.247421106424099, ""trend_flat_vol_mid"": -6.615131070243115, ""trend_up_vol_high"": 15.717950425996788, ""trend_up_vol_low"": 2.2878700118380038, ""trend_up_vol_mid"": 6.621674116745272}","{""trend_flat_vol_high"": 999.0, ""trend_flat_vol_mid"": 0.12329035591708407, ""trend_up_vol_high"": 999.0, ""trend_up_vol_low"": 999.0, ""trend_up_vol_mid"": 4.442193717692393}","{""trend_flat_vol_high"": 100.0, ""trend_flat_vol_mid"": 50.0, ""trend_up_vol_high"": 100.0, ""trend_up_vol_low"": 100.0, ""trend_up_vol_mid"": 60.0}",,1,552.00000,-661.07000,long,1213.07000,500,19.90744,-4.41710,52.63131,0.00634,0.01392,9.80000,2,50.00000,1.50567,4.37288,501.00172,502.03288,-1.40172,2.22257,3.00344,3,4.23532,999.00000,2,artifacts\research\eu50\candidates\momentum__5m_europe__exit_trend_5m_europe_symbol_candidate_trades.csv,artifacts\research\eu50\candidates\momentum__5m_europe__exit_trend_5m_europe_symbol_candidate_analysis.txt
