name,description,archetype,realized_pnl,closed_trades,win_rate_pct,profit_factor,max_drawdown_pct,total_costs
trend,EMA trend continuation,single,-4.14753,17,17.64706,0.17899,0.00851,8.72540
momentum,Momentum confirmation,single,-1.70637,9,22.22222,0.37683,0.00466,4.61853
mean_reversion,Intraday mean reversion,single,-0.74252,3,0.00000,0.00000,0.00151,1.53981
volatility_breakout,Generic volatility breakout,single,-1.77566,8,12.50000,0.24413,0.00383,4.10533
opening_range_breakout,Opening range breakout,single,-0.54890,1,0.00000,0.00000,0.00081,0.51309
