name,description,archetype,realized_pnl,closed_trades,win_rate_pct,profit_factor,max_drawdown_pct,total_costs,expectancy,sharpe_ratio,sortino_ratio,calmar_ratio,avg_win,avg_loss,payoff_ratio,avg_hold_bars,dominant_exit,dominant_exit_share_pct,component_count,combo_outperformance_score,combo_trade_overlap_pct,best_regime,best_unified_regime,best_regime_pnl,worst_regime,worst_unified_regime,worst_regime_pnl,dominant_regime_share_pct,regime_stability_score,regime_loss_ratio,regime_trade_count_by_label,regime_pnl_by_label,regime_pf_by_label,regime_win_rate_by_label,regime_filter_label,broker_swap_available,broker_swap_long,broker_swap_short,broker_preferred_carry_side,broker_carry_spread,walk_forward_windows,walk_forward_pass_rate_pct,walk_forward_avg_validation_pnl,walk_forward_avg_test_pnl,walk_forward_avg_validation_pf,walk_forward_avg_test_pf,train_pnl,validation_pnl,validation_profit_factor,validation_closed_trades,test_pnl,test_profit_factor,test_closed_trades,trade_log_path,trade_analysis_path
eurusd_london_range_reclaim__5m_europe__exit_fastfail,EURUSD London range reclaim [5m_europe] with fast-fail exits,entry_exit_family,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-10.76000,0.22000,short,-10.98000,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\eurusd\candidates\eurusd_london_range_reclaim__5m_europe__exit_fastfail_5m_europe_symbol_candidate_trades.csv,artifacts\research\eurusd\candidates\eurusd_london_range_reclaim__5m_europe__exit_fastfail_5m_europe_symbol_candidate_analysis.txt
eurusd_london_false_break_reversal__5m_europe__exit_trend,EURUSD London false-break reversal around prior-day and overnight levels [5m_europe] with trend-runner exits,entry_exit_family,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-10.76000,0.22000,short,-10.98000,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\eurusd\candidates\eurusd_london_false_break_reversal__5m_europe__exit_trend_5m_europe_symbol_candidate_trades.csv,artifacts\research\eurusd\candidates\eurusd_london_false_break_reversal__5m_europe__exit_trend_5m_europe_symbol_candidate_analysis.txt
eurusd_london_false_break_reversal__5m_europe__exit_fastfail,EURUSD London false-break reversal around prior-day and overnight levels [5m_europe] with fast-fail exits,entry_exit_family,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-10.76000,0.22000,short,-10.98000,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\eurusd\candidates\eurusd_london_false_break_reversal__5m_europe__exit_fastfail_5m_europe_symbol_candidate_trades.csv,artifacts\research\eurusd\candidates\eurusd_london_false_break_reversal__5m_europe__exit_fastfail_5m_europe_symbol_candidate_analysis.txt
eurusd_post_news_reclaim__5m_europe__exit_trend,EURUSD post-news VWAP reclaim [5m_europe] with trend-runner exits,entry_exit_family,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-10.76000,0.22000,short,-10.98000,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\eurusd\candidates\eurusd_post_news_reclaim__5m_europe__exit_trend_5m_europe_symbol_candidate_trades.csv,artifacts\research\eurusd\candidates\eurusd_post_news_reclaim__5m_europe__exit_trend_5m_europe_symbol_candidate_analysis.txt
eurusd_post_news_reclaim__5m_europe__exit_fastfail,EURUSD post-news VWAP reclaim [5m_europe] with fast-fail exits,entry_exit_family,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-10.76000,0.22000,short,-10.98000,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\eurusd\candidates\eurusd_post_news_reclaim__5m_europe__exit_fastfail_5m_europe_symbol_candidate_trades.csv,artifacts\research\eurusd\candidates\eurusd_post_news_reclaim__5m_europe__exit_fastfail_5m_europe_symbol_candidate_analysis.txt
forex_breakout_momentum__5m_us,EURUSD breakout momentum baseline [5m_us],single,-19.47522,48,22.91667,0.40493,0.01984,2.40000,-0.40573,-0.35572,-0.38954,-0.98155,1.20478,-0.88453,1.36205,10.68750,stop_loss,29.16667,1,0.00000,0.00000,trend_flat_vol_high,dislocated_chop,2.33207,trend_flat_vol_low,compressed_range,-15.82354,83.33333,0.09661,6.78519,"{""trend_flat_vol_high"": 1, ""trend_flat_vol_low"": 40, ""trend_flat_vol_mid"": 7}","{""trend_flat_vol_high"": 2.332068500000001, ""trend_flat_vol_low"": -15.823539500003035, ""trend_flat_vol_mid"": -5.983749750000082}","{""trend_flat_vol_high"": 999.0, ""trend_flat_vol_low"": 0.31622613034870234, ""trend_flat_vol_mid"": 0.37580077969748943}","{""trend_flat_vol_high"": 100.0, ""trend_flat_vol_low"": 22.5, ""trend_flat_vol_mid"": 14.285714285714285}",,1,-10.76000,0.22000,short,-10.98000,2,0.00000,-2.02455,-1.51964,0.73442,0.71975,-13.71122,-4.69877,0.33169,10,-1.39945,0.74068,9,artifacts\research\eurusd\candidates\forex_breakout_momentum__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\research\eurusd\candidates\forex_breakout_momentum__5m_us_5m_us_symbol_candidate_analysis.txt
forex_short_breakdown_momentum__5m_us,EURUSD short breakdown momentum baseline [5m_us],single,-24.37425,74,35.13514,0.42833,0.02608,3.70000,-0.32938,-0.31965,-0.29570,-0.93454,0.70240,-0.88826,0.79076,8.09459,trailing_stop,32.43243,1,0.00000,0.00000,trend_flat_vol_high,dislocated_chop,-0.34786,trend_flat_vol_low,compressed_range,-15.20691,91.89189,0.00000,999.00000,"{""trend_flat_vol_high"": 1, ""trend_flat_vol_low"": 68, ""trend_flat_vol_mid"": 5}","{""trend_flat_vol_high"": -0.34786450000002245, ""trend_flat_vol_low"": -15.206908000003832, ""trend_flat_vol_mid"": -8.819474000000632}","{""trend_flat_vol_high"": 0.0, ""trend_flat_vol_low"": 0.5456466839606681, ""trend_flat_vol_mid"": 0.0}","{""trend_flat_vol_high"": 0.0, ""trend_flat_vol_low"": 38.23529411764706, ""trend_flat_vol_mid"": 0.0}",,1,-10.76000,0.22000,short,-10.98000,2,0.00000,-6.98664,-1.19628,0.35812,0.67329,-14.13067,-5.29635,0.46035,20,-1.97686,0.42634,10,artifacts\research\eurusd\candidates\forex_short_breakdown_momentum__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\research\eurusd\candidates\forex_short_breakdown_momentum__5m_us_5m_us_symbol_candidate_analysis.txt
eurusd_london_range_reclaim__5m_us,EURUSD London range reclaim [5m_us],single,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-10.76000,0.22000,short,-10.98000,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\eurusd\candidates\eurusd_london_range_reclaim__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\research\eurusd\candidates\eurusd_london_range_reclaim__5m_us_5m_us_symbol_candidate_analysis.txt
eurusd_london_false_break_reversal__5m_us,EURUSD London false-break reversal around prior-day and overnight levels [5m_us],single,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},trend_flat_vol_mid,1,-10.76000,0.22000,short,-10.98000,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\eurusd\candidates\eurusd_london_false_break_reversal__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\research\eurusd\candidates\eurusd_london_false_break_reversal__5m_us_5m_us_symbol_candidate_analysis.txt
eurusd_post_news_reclaim__5m_us,EURUSD post-news VWAP reclaim [5m_us],single,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},trend_flat_vol_high,1,-10.76000,0.22000,short,-10.98000,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\eurusd\candidates\eurusd_post_news_reclaim__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\research\eurusd\candidates\eurusd_post_news_reclaim__5m_us_5m_us_symbol_candidate_analysis.txt
