name,description,archetype,realized_pnl,closed_trades,win_rate_pct,profit_factor,max_drawdown_pct,total_costs,expectancy,avg_win,avg_loss,payoff_ratio,avg_hold_bars,dominant_exit,dominant_exit_share_pct,component_count,combo_outperformance_score,combo_trade_overlap_pct,best_regime,best_unified_regime,best_regime_pnl,worst_regime,worst_unified_regime,worst_regime_pnl,dominant_regime_share_pct,regime_stability_score,regime_loss_ratio,regime_trade_count_by_label,regime_pnl_by_label,regime_pf_by_label,regime_win_rate_by_label,regime_filter_label,walk_forward_windows,walk_forward_pass_rate_pct,walk_forward_avg_validation_pnl,walk_forward_avg_test_pnl,walk_forward_avg_validation_pf,walk_forward_avg_test_pf,train_pnl,validation_pnl,validation_profit_factor,validation_closed_trades,test_pnl,test_profit_factor,test_closed_trades,trade_log_path,trade_analysis_path
gbpusd_overlap_impulse__30m_overlap__regime_trend_down_vol_low__near_miss_dense,GBPUSD London/NY overlap impulse continuation [30m_overlap] focused on orderly_trend with denser near-miss optimization,near_miss_optimized,13.17611,4,100.00000,999.00000,0.00000,0.20000,3.29403,3.29403,0.00000,999.00000,3.25000,take_profit,100.00000,1,0.00000,0.00000,trend_down_vol_low,orderly_trend,13.17611,trend_down_vol_low,orderly_trend,13.17611,100.00000,1.00000,0.00000,"{""trend_down_vol_low"": 4}","{""trend_down_vol_low"": 13.176112371227934}","{""trend_down_vol_low"": 999.0}","{""trend_down_vol_low"": 100.0}",trend_down_vol_low,2,0.00000,0.00000,3.52161,0.00000,999.00000,5.86237,0.00000,0.00000,0,3.52161,999.00000,1,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__regime_trend_down_vol_low__near_miss_dense_symbol_candidate_trades.csv,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__regime_trend_down_vol_low__near_miss_dense_symbol_candidate_analysis.txt
gbpusd_overlap_impulse__30m_overlap__regime_trend_down_vol_low__near_miss_dense__trend_down_vol_low,GBPUSD London/NY overlap impulse continuation [30m_overlap] focused on orderly_trend with denser near-miss optimization focused on trend_down_vol_low,near_miss_optimized,13.17611,4,100.00000,999.00000,0.00000,0.20000,3.29403,3.29403,0.00000,999.00000,3.25000,take_profit,100.00000,1,0.00000,0.00000,trend_down_vol_low,orderly_trend,13.17611,trend_down_vol_low,orderly_trend,13.17611,100.00000,1.00000,0.00000,"{""trend_down_vol_low"": 4}","{""trend_down_vol_low"": 13.176112371227934}","{""trend_down_vol_low"": 999.0}","{""trend_down_vol_low"": 100.0}",trend_down_vol_low,2,0.00000,0.00000,3.52161,0.00000,999.00000,5.86237,0.00000,0.00000,0,3.52161,999.00000,1,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__regime_trend_down_vol_low__near_miss_dense__trend_down_vol_low_symbol_can_trades.csv,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__regime_trend_down_vol_low__near_miss_dense__trend_down_vol_low_symbol_can_analysis.txt
gbpusd_overlap_impulse__30m_overlap__regime_trend_down_vol_low__near_miss_dense__trend_down,GBPUSD London/NY overlap impulse continuation [30m_overlap] focused on orderly_trend with denser near-miss optimization focused on trend_down,near_miss_optimized,8.80165,16,56.25000,1.51095,0.00135,0.80000,0.55010,2.89197,-2.46087,1.17518,7.06250,trailing_stop,37.50000,1,0.00000,0.00000,trend_down_vol_low,orderly_trend,10.04589,trend_down_vol_high,trend_expansion,-3.70500,62.50000,0.77146,0.36881,"{""trend_down_vol_high"": 2, ""trend_down_vol_low"": 4, ""trend_down_vol_mid"": 10}","{""trend_down_vol_high"": -3.7050000371237184, ""trend_down_vol_low"": 10.04589160092626, ""trend_down_vol_mid"": 2.4607604825943037}","{""trend_down_vol_high"": 0.16127592151900164, ""trend_down_vol_low"": 999.0, ""trend_down_vol_mid"": 1.1921171859628463}","{""trend_down_vol_high"": 50.0, ""trend_down_vol_low"": 100.0, ""trend_down_vol_mid"": 40.0}",trend_down,2,0.00000,-0.43186,-3.28190,1.49358,0.20304,16.28309,-4.63297,0.30403,4,-3.60375,0.00000,2,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__regime_trend_down_vol_low__near_miss_dense__trend_down_symbol_candidate_trades.csv,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__regime_trend_down_vol_low__near_miss_dense__trend_down_symbol_candidate_analysis.txt
gbpusd_overlap_impulse__30m_overlap__exit_fastfail__regime_trend_down_vol_low__near_miss_patient,GBPUSD London/NY overlap impulse continuation [30m_overlap] with fast-fail exits focused on orderly_trend with patient near-miss optimization,near_miss_optimized,13.17611,4,100.00000,999.00000,0.00000,0.20000,3.29403,3.29403,0.00000,999.00000,3.25000,take_profit,100.00000,1,0.00000,0.00000,trend_down_vol_low,orderly_trend,13.17611,trend_down_vol_low,orderly_trend,13.17611,100.00000,1.00000,0.00000,"{""trend_down_vol_low"": 4}","{""trend_down_vol_low"": 13.176112371227934}","{""trend_down_vol_low"": 999.0}","{""trend_down_vol_low"": 100.0}",trend_down_vol_low,2,0.00000,0.00000,3.52161,0.00000,999.00000,5.86237,0.00000,0.00000,0,3.52161,999.00000,1,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__exit_fastfail__regime_trend_down_vol_low__near_miss_patient_symbol_candid_trades.csv,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__exit_fastfail__regime_trend_down_vol_low__near_miss_patient_symbol_candid_analysis.txt
gbpusd_overlap_impulse__30m_overlap__exit_fastfail__regime_trend_down_vol_low__near_miss_patient__trend_down_vol_low,GBPUSD London/NY overlap impulse continuation [30m_overlap] with fast-fail exits focused on orderly_trend with patient near-miss optimization focused on trend_down_vol_low,near_miss_optimized,13.17611,4,100.00000,999.00000,0.00000,0.20000,3.29403,3.29403,0.00000,999.00000,3.25000,take_profit,100.00000,1,0.00000,0.00000,trend_down_vol_low,orderly_trend,13.17611,trend_down_vol_low,orderly_trend,13.17611,100.00000,1.00000,0.00000,"{""trend_down_vol_low"": 4}","{""trend_down_vol_low"": 13.176112371227934}","{""trend_down_vol_low"": 999.0}","{""trend_down_vol_low"": 100.0}",trend_down_vol_low,2,0.00000,0.00000,3.52161,0.00000,999.00000,5.86237,0.00000,0.00000,0,3.52161,999.00000,1,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__exit_fastfail__regime_trend_down_vol_low__near_miss_patient__trend_down_v_trades.csv,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__exit_fastfail__regime_trend_down_vol_low__near_miss_patient__trend_down_v_analysis.txt
gbpusd_overlap_impulse__30m_overlap__exit_fastfail__regime_trend_down_vol_low__near_miss_patient__trend_down,GBPUSD London/NY overlap impulse continuation [30m_overlap] with fast-fail exits focused on orderly_trend with patient near-miss optimization focused on trend_down,near_miss_optimized,6.84151,16,56.25000,1.35659,0.00135,0.80000,0.42759,2.89197,-2.74089,1.05512,7.56250,trailing_stop,37.50000,1,0.00000,0.00000,trend_down_vol_low,orderly_trend,10.04589,trend_down_vol_high,trend_expansion,-5.66514,62.50000,0.68825,0.56393,"{""trend_down_vol_high"": 2, ""trend_down_vol_low"": 4, ""trend_down_vol_mid"": 10}","{""trend_down_vol_high"": -5.665138283063264, ""trend_down_vol_low"": 10.04589160092626, ""trend_down_vol_mid"": 2.4607604825943037}","{""trend_down_vol_high"": 0.11170790790075645, ""trend_down_vol_low"": 999.0, ""trend_down_vol_mid"": 1.1921171859628463}","{""trend_down_vol_high"": 50.0, ""trend_down_vol_low"": 100.0, ""trend_down_vol_mid"": 40.0}",trend_down,2,0.00000,-1.41193,-4.26197,1.45900,0.14573,16.28309,-6.59311,0.23487,4,-3.60375,0.00000,2,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__exit_fastfail__regime_trend_down_vol_low__near_miss_patient__trend_down_s_trades.csv,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__exit_fastfail__regime_trend_down_vol_low__near_miss_patient__trend_down_s_analysis.txt
gbpusd_overlap_impulse__30m_overlap__exit_fastfail__regime_trend_down_vol_low__near_miss_protective,GBPUSD London/NY overlap impulse continuation [30m_overlap] with fast-fail exits focused on orderly_trend with protective near-miss optimization,near_miss_optimized,13.17611,4,100.00000,999.00000,0.00000,0.20000,3.29403,3.29403,0.00000,999.00000,3.25000,take_profit,100.00000,1,0.00000,0.00000,trend_down_vol_low,orderly_trend,13.17611,trend_down_vol_low,orderly_trend,13.17611,100.00000,1.00000,0.00000,"{""trend_down_vol_low"": 4}","{""trend_down_vol_low"": 13.176112371227934}","{""trend_down_vol_low"": 999.0}","{""trend_down_vol_low"": 100.0}",trend_down_vol_low,2,0.00000,0.00000,3.52161,0.00000,999.00000,5.86237,0.00000,0.00000,0,3.52161,999.00000,1,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__exit_fastfail__regime_trend_down_vol_low__near_miss_protective_symbol_can_trades.csv,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__exit_fastfail__regime_trend_down_vol_low__near_miss_protective_symbol_can_analysis.txt
gbpusd_overlap_impulse__30m_overlap__exit_fastfail__regime_trend_down_vol_low__near_miss_protective__trend_down_vol_low,GBPUSD London/NY overlap impulse continuation [30m_overlap] with fast-fail exits focused on orderly_trend with protective near-miss optimization focused on trend_down_vol_low,near_miss_optimized,13.17611,4,100.00000,999.00000,0.00000,0.20000,3.29403,3.29403,0.00000,999.00000,3.25000,take_profit,100.00000,1,0.00000,0.00000,trend_down_vol_low,orderly_trend,13.17611,trend_down_vol_low,orderly_trend,13.17611,100.00000,1.00000,0.00000,"{""trend_down_vol_low"": 4}","{""trend_down_vol_low"": 13.176112371227934}","{""trend_down_vol_low"": 999.0}","{""trend_down_vol_low"": 100.0}",trend_down_vol_low,2,0.00000,0.00000,3.52161,0.00000,999.00000,5.86237,0.00000,0.00000,0,3.52161,999.00000,1,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__exit_fastfail__regime_trend_down_vol_low__near_miss_protective__trend_dow_trades.csv,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__exit_fastfail__regime_trend_down_vol_low__near_miss_protective__trend_dow_analysis.txt
gbpusd_overlap_impulse__30m_overlap__exit_fastfail__regime_trend_down_vol_low__near_miss_protective__trend_down,GBPUSD London/NY overlap impulse continuation [30m_overlap] with fast-fail exits focused on orderly_trend with protective near-miss optimization focused on trend_down,near_miss_optimized,0.80109,16,50.00000,1.04487,0.00172,0.80000,0.05007,2.33164,-2.23150,1.04487,6.43750,trailing_stop,43.75000,1,0.00000,0.00000,trend_down_vol_low,orderly_trend,10.04589,trend_down_vol_mid,orderly_trend,-5.53980,62.50000,0.52076,0.55145,"{""trend_down_vol_high"": 2, ""trend_down_vol_low"": 4, ""trend_down_vol_mid"": 10}","{""trend_down_vol_high"": -3.7050000371237184, ""trend_down_vol_low"": 10.04589160092626, ""trend_down_vol_mid"": -5.539803786547337}","{""trend_down_vol_high"": 0.16127592151900164, ""trend_down_vol_low"": 999.0, ""trend_down_vol_mid"": 0.5876460075646714}","{""trend_down_vol_high"": 50.0, ""trend_down_vol_low"": 100.0, ""trend_down_vol_mid"": 30.0}",trend_down,2,0.00000,-0.43186,-3.28190,1.49358,0.20304,8.28252,-4.63297,0.30403,4,-3.60375,0.00000,2,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__exit_fastfail__regime_trend_down_vol_low__near_miss_protective__trend_dow_trades.csv,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__exit_fastfail__regime_trend_down_vol_low__near_miss_protective__trend_dow_analysis.txt
gbpusd_overlap_impulse__30m_overlap__exit_fastfail__regime_trend_down_vol_low__near_miss_dense,GBPUSD London/NY overlap impulse continuation [30m_overlap] with fast-fail exits focused on orderly_trend with denser near-miss optimization,near_miss_optimized,13.17611,4,100.00000,999.00000,0.00000,0.20000,3.29403,3.29403,0.00000,999.00000,3.25000,take_profit,100.00000,1,0.00000,0.00000,trend_down_vol_low,orderly_trend,13.17611,trend_down_vol_low,orderly_trend,13.17611,100.00000,1.00000,0.00000,"{""trend_down_vol_low"": 4}","{""trend_down_vol_low"": 13.176112371227934}","{""trend_down_vol_low"": 999.0}","{""trend_down_vol_low"": 100.0}",trend_down_vol_low,2,0.00000,0.00000,3.52161,0.00000,999.00000,5.86237,0.00000,0.00000,0,3.52161,999.00000,1,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__exit_fastfail__regime_trend_down_vol_low__near_miss_dense_symbol_candidat_trades.csv,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__exit_fastfail__regime_trend_down_vol_low__near_miss_dense_symbol_candidat_analysis.txt
gbpusd_overlap_impulse__30m_overlap__exit_fastfail__regime_trend_down_vol_low__near_miss_dense__trend_down_vol_low,GBPUSD London/NY overlap impulse continuation [30m_overlap] with fast-fail exits focused on orderly_trend with denser near-miss optimization focused on trend_down_vol_low,near_miss_optimized,13.17611,4,100.00000,999.00000,0.00000,0.20000,3.29403,3.29403,0.00000,999.00000,3.25000,take_profit,100.00000,1,0.00000,0.00000,trend_down_vol_low,orderly_trend,13.17611,trend_down_vol_low,orderly_trend,13.17611,100.00000,1.00000,0.00000,"{""trend_down_vol_low"": 4}","{""trend_down_vol_low"": 13.176112371227934}","{""trend_down_vol_low"": 999.0}","{""trend_down_vol_low"": 100.0}",trend_down_vol_low,2,0.00000,0.00000,3.52161,0.00000,999.00000,5.86237,0.00000,0.00000,0,3.52161,999.00000,1,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__exit_fastfail__regime_trend_down_vol_low__near_miss_dense__trend_down_vol_trades.csv,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__exit_fastfail__regime_trend_down_vol_low__near_miss_dense__trend_down_vol_analysis.txt
gbpusd_overlap_impulse__30m_overlap__exit_fastfail__regime_trend_down_vol_low__near_miss_dense__trend_down,GBPUSD London/NY overlap impulse continuation [30m_overlap] with fast-fail exits focused on orderly_trend with denser near-miss optimization focused on trend_down,near_miss_optimized,8.80165,16,56.25000,1.51095,0.00135,0.80000,0.55010,2.89197,-2.46087,1.17518,7.06250,trailing_stop,37.50000,1,0.00000,0.00000,trend_down_vol_low,orderly_trend,10.04589,trend_down_vol_high,trend_expansion,-3.70500,62.50000,0.77146,0.36881,"{""trend_down_vol_high"": 2, ""trend_down_vol_low"": 4, ""trend_down_vol_mid"": 10}","{""trend_down_vol_high"": -3.7050000371237184, ""trend_down_vol_low"": 10.04589160092626, ""trend_down_vol_mid"": 2.4607604825943037}","{""trend_down_vol_high"": 0.16127592151900164, ""trend_down_vol_low"": 999.0, ""trend_down_vol_mid"": 1.1921171859628463}","{""trend_down_vol_high"": 50.0, ""trend_down_vol_low"": 100.0, ""trend_down_vol_mid"": 40.0}",trend_down,2,0.00000,-0.43186,-3.28190,1.49358,0.20304,16.28309,-4.63297,0.30403,4,-3.60375,0.00000,2,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__exit_fastfail__regime_trend_down_vol_low__near_miss_dense__trend_down_sym_trades.csv,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__exit_fastfail__regime_trend_down_vol_low__near_miss_dense__trend_down_sym_analysis.txt
gbpusd_overlap_impulse__15m_overlap__exit_fastfail__regime_trend_up_vol_mid__near_miss_patient,GBPUSD London/NY overlap impulse continuation [15m_overlap] with fast-fail exits focused on orderly_trend with patient near-miss optimization,near_miss_optimized,2.26040,8,50.00000,1.11195,0.00121,0.40000,0.28255,5.61275,-5.04765,1.11195,3.50000,take_profit,50.00000,1,0.00000,0.00000,trend_up_vol_mid,orderly_trend,2.26040,trend_up_vol_mid,orderly_trend,2.26040,100.00000,1.00000,0.00000,"{""trend_up_vol_mid"": 8}","{""trend_up_vol_mid"": 2.260400928070843}","{""trend_up_vol_mid"": 1.1119530648096956}","{""trend_up_vol_mid"": 50.0}",trend_up_vol_mid,2,0.00000,6.19081,-6.71965,9.44563,0.41217,-0.87006,8.62636,17.36442,3,-12.53540,0.00000,2,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__15m_overlap__exit_fastfail__regime_trend_up_vol_mid__near_miss_patient_symbol_candidat_trades.csv,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__15m_overlap__exit_fastfail__regime_trend_up_vol_mid__near_miss_patient_symbol_candidat_analysis.txt
gbpusd_overlap_impulse__15m_overlap__exit_fastfail__regime_trend_up_vol_mid__near_miss_patient__trend_up_vol_mid,GBPUSD London/NY overlap impulse continuation [15m_overlap] with fast-fail exits focused on orderly_trend with patient near-miss optimization focused on trend_up_vol_mid,near_miss_optimized,2.26040,8,50.00000,1.11195,0.00121,0.40000,0.28255,5.61275,-5.04765,1.11195,3.50000,take_profit,50.00000,1,0.00000,0.00000,trend_up_vol_mid,orderly_trend,2.26040,trend_up_vol_mid,orderly_trend,2.26040,100.00000,1.00000,0.00000,"{""trend_up_vol_mid"": 8}","{""trend_up_vol_mid"": 2.260400928070843}","{""trend_up_vol_mid"": 1.1119530648096956}","{""trend_up_vol_mid"": 50.0}",trend_up_vol_mid,2,0.00000,6.19081,-6.71965,9.44563,0.41217,-0.87006,8.62636,17.36442,3,-12.53540,0.00000,2,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__15m_overlap__exit_fastfail__regime_trend_up_vol_mid__near_miss_patient__trend_up_vol_m_trades.csv,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__15m_overlap__exit_fastfail__regime_trend_up_vol_mid__near_miss_patient__trend_up_vol_m_analysis.txt
gbpusd_overlap_impulse__15m_overlap__exit_fastfail__regime_trend_up_vol_mid__near_miss_patient__trend_up,GBPUSD London/NY overlap impulse continuation [15m_overlap] with fast-fail exits focused on orderly_trend with patient near-miss optimization focused on trend_up,near_miss_optimized,0.05428,17,47.05882,1.00176,0.00418,0.85000,0.00319,3.85967,-3.42478,1.12698,5.70588,take_profit,47.05882,1,0.00000,0.00000,trend_up_vol_low,orderly_trend,12.89535,trend_up_vol_mid,orderly_trend,-12.84107,58.82353,0.50105,0.99579,"{""trend_up_vol_low"": 10, ""trend_up_vol_mid"": 7}","{""trend_up_vol_low"": 12.895347285378278, ""trend_up_vol_mid"": -12.841070320188818}","{""trend_up_vol_low"": 2.7765643338536643, ""trend_up_vol_mid"": 0.4550663479962909}","{""trend_up_vol_low"": 60.0, ""trend_up_vol_mid"": 28.57142857142857}",trend_up,2,0.00000,-0.19039,-8.69172,12.38761,0.47486,12.55746,-4.17493,0.58805,6,-12.80793,0.24879,5,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__15m_overlap__exit_fastfail__regime_trend_up_vol_mid__near_miss_patient__trend_up_symbo_trades.csv,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__15m_overlap__exit_fastfail__regime_trend_up_vol_mid__near_miss_patient__trend_up_symbo_analysis.txt
gbpusd_overlap_impulse__15m_overlap__exit_fastfail__regime_trend_up_vol_mid__near_miss_protective,GBPUSD London/NY overlap impulse continuation [15m_overlap] with fast-fail exits focused on orderly_trend with protective near-miss optimization,near_miss_optimized,2.26040,8,50.00000,1.11195,0.00121,0.40000,0.28255,5.61275,-5.04765,1.11195,3.50000,take_profit,50.00000,1,0.00000,0.00000,trend_up_vol_mid,orderly_trend,2.26040,trend_up_vol_mid,orderly_trend,2.26040,100.00000,1.00000,0.00000,"{""trend_up_vol_mid"": 8}","{""trend_up_vol_mid"": 2.260400928070843}","{""trend_up_vol_mid"": 1.1119530648096956}","{""trend_up_vol_mid"": 50.0}",trend_up_vol_mid,2,0.00000,6.19081,-6.71965,9.44563,0.41217,-0.87006,8.62636,17.36442,3,-12.53540,0.00000,2,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__15m_overlap__exit_fastfail__regime_trend_up_vol_mid__near_miss_protective_symbol_candi_trades.csv,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__15m_overlap__exit_fastfail__regime_trend_up_vol_mid__near_miss_protective_symbol_candi_analysis.txt
gbpusd_overlap_impulse__15m_overlap__exit_fastfail__regime_trend_up_vol_mid__near_miss_protective__trend_up_vol_mid,GBPUSD London/NY overlap impulse continuation [15m_overlap] with fast-fail exits focused on orderly_trend with protective near-miss optimization focused on trend_up_vol_mid,near_miss_optimized,2.26040,8,50.00000,1.11195,0.00121,0.40000,0.28255,5.61275,-5.04765,1.11195,3.50000,take_profit,50.00000,1,0.00000,0.00000,trend_up_vol_mid,orderly_trend,2.26040,trend_up_vol_mid,orderly_trend,2.26040,100.00000,1.00000,0.00000,"{""trend_up_vol_mid"": 8}","{""trend_up_vol_mid"": 2.260400928070843}","{""trend_up_vol_mid"": 1.1119530648096956}","{""trend_up_vol_mid"": 50.0}",trend_up_vol_mid,2,0.00000,6.19081,-6.71965,9.44563,0.41217,-0.87006,8.62636,17.36442,3,-12.53540,0.00000,2,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__15m_overlap__exit_fastfail__regime_trend_up_vol_mid__near_miss_protective__trend_up_vo_trades.csv,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__15m_overlap__exit_fastfail__regime_trend_up_vol_mid__near_miss_protective__trend_up_vo_analysis.txt
gbpusd_overlap_impulse__15m_overlap__exit_fastfail__regime_trend_up_vol_mid__near_miss_protective__trend_up,GBPUSD London/NY overlap impulse continuation [15m_overlap] with fast-fail exits focused on orderly_trend with protective near-miss optimization focused on trend_up,near_miss_optimized,-9.56225,18,44.44444,0.70233,0.00956,0.90000,-0.53124,2.82015,-3.21235,0.87791,4.94444,stop_loss,44.44444,1,0.00000,0.00000,trend_up_vol_low,orderly_trend,7.75851,trend_up_vol_mid,orderly_trend,-17.32075,61.11111,0.30936,2.23249,"{""trend_up_vol_low"": 11, ""trend_up_vol_mid"": 7}","{""trend_up_vol_low"": 7.758508519716541, ""trend_up_vol_mid"": -17.320754329469267}","{""trend_up_vol_low"": 1.9064739392726213, ""trend_up_vol_mid"": 0.26496299164585885}","{""trend_up_vol_low"": 54.54545454545454, ""trend_up_vol_mid"": 28.57142857142857}",trend_up,2,0.00000,-0.19039,-11.52872,12.38761,0.33023,8.01778,-4.17493,0.58805,6,-13.40509,0.25485,6,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__15m_overlap__exit_fastfail__regime_trend_up_vol_mid__near_miss_protective__trend_up_sy_trades.csv,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__15m_overlap__exit_fastfail__regime_trend_up_vol_mid__near_miss_protective__trend_up_sy_analysis.txt
gbpusd_overlap_impulse__30m_overlap__regime_trend_down_vol_low__plus__gbpusd_overlap_impulse__30m_overlap__exit_fastfail__regime_trend_down_vol_low,Combined gbpusd_overlap_impulse__30m_overlap__regime_trend_down_vol_low + gbpusd_overlap_impulse__30m_overlap__exit_fastfail__regime_trend_down_vol_low,combined,-19.53888,113,38.05310,0.81298,0.03001,5.65000,-0.17291,1.97532,-1.49254,1.32346,8.25664,trailing_stop,28.31858,2,-11.89323,100.00000,trend_up_vol_low,orderly_trend,4.53402,trend_flat_vol_low,compressed_range,-16.04868,58.40708,0.22200,3.53962,"{""trend_down_vol_low"": 13, ""trend_down_vol_mid"": 7, ""trend_flat_vol_high"": 1, ""trend_flat_vol_low"": 66, ""trend_flat_vol_mid"": 10, ""trend_up_vol_low"": 9, ""trend_up_vol_mid"": 7}","{""trend_down_vol_low"": -1.8631905429288977, ""trend_down_vol_mid"": -0.15528470533913796, ""trend_flat_vol_high"": -2.9372111832951573, ""trend_flat_vol_low"": -16.048683229727217, ""trend_flat_vol_mid"": -6.335886348031671, ""trend_up_vol_low"": 4.534018515076905, ""trend_up_vol_mid"": 3.2673617169343845}","{""trend_down_vol_low"": 0.8272141149562886, ""trend_down_vol_mid"": 0.9816850570203305, ""trend_flat_vol_high"": 0.0, ""trend_flat_vol_low"": 0.710622204946775, ""trend_flat_vol_mid"": 0.6253255701901012, ""trend_up_vol_low"": 2.333238022218984, ""trend_up_vol_mid"": 1.5020499115246304}","{""trend_down_vol_low"": 30.76923076923077, ""trend_down_vol_mid"": 42.857142857142854, ""trend_flat_vol_high"": 0.0, ""trend_flat_vol_low"": 37.878787878787875, ""trend_flat_vol_mid"": 40.0, ""trend_up_vol_low"": 44.44444444444444, ""trend_up_vol_mid"": 42.857142857142854}",,2,0.00000,-0.26706,-14.30737,1.00055,0.62787,-2.24118,-1.66042,0.91600,27,-8.37162,0.77692,33,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__regime_trend_down_vol_low__plus__gbpusd_overlap_impulse__30m_overlap__exi_trades.csv,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__regime_trend_down_vol_low__plus__gbpusd_overlap_impulse__30m_overlap__exi_analysis.txt
gbpusd_overlap_impulse__30m_overlap__regime_trend_down_vol_low__plus__gbpusd_overlap_impulse__30m_overlap__regime_trend_down_vol_low__near_miss_patient,Combined gbpusd_overlap_impulse__30m_overlap__regime_trend_down_vol_low + gbpusd_overlap_impulse__30m_overlap__regime_trend_down_vol_low__near_miss_patient,combined,-19.53888,113,38.05310,0.81298,0.03001,5.65000,-0.17291,1.97532,-1.49254,1.32346,8.25664,trailing_stop,28.31858,2,-11.89323,100.00000,trend_up_vol_low,orderly_trend,4.53402,trend_flat_vol_low,compressed_range,-16.04868,58.40708,0.22200,3.53962,"{""trend_down_vol_low"": 13, ""trend_down_vol_mid"": 7, ""trend_flat_vol_high"": 1, ""trend_flat_vol_low"": 66, ""trend_flat_vol_mid"": 10, ""trend_up_vol_low"": 9, ""trend_up_vol_mid"": 7}","{""trend_down_vol_low"": -1.8631905429288977, ""trend_down_vol_mid"": -0.15528470533913796, ""trend_flat_vol_high"": -2.9372111832951573, ""trend_flat_vol_low"": -16.048683229727217, ""trend_flat_vol_mid"": -6.335886348031671, ""trend_up_vol_low"": 4.534018515076905, ""trend_up_vol_mid"": 3.2673617169343845}","{""trend_down_vol_low"": 0.8272141149562886, ""trend_down_vol_mid"": 0.9816850570203305, ""trend_flat_vol_high"": 0.0, ""trend_flat_vol_low"": 0.710622204946775, ""trend_flat_vol_mid"": 0.6253255701901012, ""trend_up_vol_low"": 2.333238022218984, ""trend_up_vol_mid"": 1.5020499115246304}","{""trend_down_vol_low"": 30.76923076923077, ""trend_down_vol_mid"": 42.857142857142854, ""trend_flat_vol_high"": 0.0, ""trend_flat_vol_low"": 37.878787878787875, ""trend_flat_vol_mid"": 40.0, ""trend_up_vol_low"": 44.44444444444444, ""trend_up_vol_mid"": 42.857142857142854}",,2,0.00000,-0.26706,-14.30737,1.00055,0.62787,-2.24118,-1.66042,0.91600,27,-8.37162,0.77692,33,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__regime_trend_down_vol_low__plus__gbpusd_overlap_impulse__30m_overlap__reg_trades.csv,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__regime_trend_down_vol_low__plus__gbpusd_overlap_impulse__30m_overlap__reg_analysis.txt
