name,description,archetype,realized_pnl,closed_trades,win_rate_pct,profit_factor,max_drawdown_pct,total_costs,expectancy,avg_win,avg_loss,payoff_ratio,avg_hold_bars,dominant_exit,dominant_exit_share_pct,component_count,combo_outperformance_score,combo_trade_overlap_pct,best_regime,best_unified_regime,best_regime_pnl,worst_regime,worst_unified_regime,worst_regime_pnl,dominant_regime_share_pct,regime_stability_score,regime_loss_ratio,regime_trade_count_by_label,regime_pnl_by_label,regime_pf_by_label,regime_win_rate_by_label,regime_filter_label,walk_forward_windows,walk_forward_pass_rate_pct,walk_forward_avg_validation_pnl,walk_forward_avg_test_pnl,walk_forward_avg_validation_pf,walk_forward_avg_test_pf,train_pnl,validation_pnl,validation_profit_factor,validation_closed_trades,test_pnl,test_profit_factor,test_closed_trades,trade_log_path,trade_analysis_path
gbpusd_overlap_impulse__15m_overlap__regime_trend_up_vol_mid,GBPUSD London/NY overlap impulse continuation [15m_overlap] focused on orderly_trend,regime_improved,-0.54940,8,50.00000,0.97279,0.00121,0.40000,-0.06868,4.91030,-5.04765,0.97279,3.25000,take_profit,50.00000,1,0.00000,0.00000,trend_up_vol_mid,orderly_trend,-0.54940,trend_up_vol_mid,orderly_trend,-0.54940,100.00000,0.00000,999.00000,"{""trend_up_vol_mid"": 8}","{""trend_up_vol_mid"": -0.54940087239324}","{""trend_up_vol_mid"": 0.972789291178518}","{""trend_up_vol_mid"": 50.0}",trend_up_vol_mid,2,0.00000,5.57085,-7.50460,9.35865,0.25963,-0.87006,8.62636,17.36442,3,-12.53540,0.00000,2,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__15m_overlap__regime_trend_up_vol_mid_symbol_candidate_trades.csv,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__15m_overlap__regime_trend_up_vol_mid_symbol_candidate_analysis.txt
gbpusd_overlap_impulse__15m_overlap__exit_fastfail__regime_trend_up_vol_mid,GBPUSD London/NY overlap impulse continuation [15m_overlap] with fast-fail exits focused on orderly_trend,regime_improved,2.26040,8,50.00000,1.11195,0.00121,0.40000,0.28255,5.61275,-5.04765,1.11195,3.50000,take_profit,50.00000,1,0.00000,0.00000,trend_up_vol_mid,orderly_trend,2.26040,trend_up_vol_mid,orderly_trend,2.26040,100.00000,1.00000,0.00000,"{""trend_up_vol_mid"": 8}","{""trend_up_vol_mid"": 2.260400928070843}","{""trend_up_vol_mid"": 1.1119530648096956}","{""trend_up_vol_mid"": 50.0}",trend_up_vol_mid,2,0.00000,6.19081,-6.71965,9.44563,0.41217,-0.87006,8.62636,17.36442,3,-12.53540,0.00000,2,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__15m_overlap__exit_fastfail__regime_trend_up_vol_mid_symbol_candidate_trades.csv,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__15m_overlap__exit_fastfail__regime_trend_up_vol_mid_symbol_candidate_analysis.txt
gbpusd_overlap_impulse__30m_overlap__regime_trend_down_vol_low,GBPUSD London/NY overlap impulse continuation [30m_overlap] focused on orderly_trend,regime_improved,13.17611,4,100.00000,999.00000,0.00000,0.20000,3.29403,3.29403,0.00000,999.00000,3.25000,take_profit,100.00000,1,0.00000,0.00000,trend_down_vol_low,orderly_trend,13.17611,trend_down_vol_low,orderly_trend,13.17611,100.00000,1.00000,0.00000,"{""trend_down_vol_low"": 4}","{""trend_down_vol_low"": 13.176112371227934}","{""trend_down_vol_low"": 999.0}","{""trend_down_vol_low"": 100.0}",trend_down_vol_low,2,0.00000,0.00000,3.52161,0.00000,999.00000,5.86237,0.00000,0.00000,0,3.52161,999.00000,1,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__regime_trend_down_vol_low_symbol_candidate_trades.csv,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__regime_trend_down_vol_low_symbol_candidate_analysis.txt
gbpusd_overlap_impulse__30m_overlap__exit_fastfail__regime_trend_down_vol_low,GBPUSD London/NY overlap impulse continuation [30m_overlap] with fast-fail exits focused on orderly_trend,regime_improved,13.17611,4,100.00000,999.00000,0.00000,0.20000,3.29403,3.29403,0.00000,999.00000,3.25000,take_profit,100.00000,1,0.00000,0.00000,trend_down_vol_low,orderly_trend,13.17611,trend_down_vol_low,orderly_trend,13.17611,100.00000,1.00000,0.00000,"{""trend_down_vol_low"": 4}","{""trend_down_vol_low"": 13.176112371227934}","{""trend_down_vol_low"": 999.0}","{""trend_down_vol_low"": 100.0}",trend_down_vol_low,2,0.00000,0.00000,3.52161,0.00000,999.00000,5.86237,0.00000,0.00000,0,3.52161,999.00000,1,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__exit_fastfail__regime_trend_down_vol_low_symbol_candidate_trades.csv,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__exit_fastfail__regime_trend_down_vol_low_symbol_candidate_analysis.txt
gbpusd_overlap_impulse__30m_overlap__regime_trend_down_vol_low__near_miss_patient,GBPUSD London/NY overlap impulse continuation [30m_overlap] focused on orderly_trend with patient near-miss optimization,near_miss_optimized,13.17611,4,100.00000,999.00000,0.00000,0.20000,3.29403,3.29403,0.00000,999.00000,3.25000,take_profit,100.00000,1,0.00000,0.00000,trend_down_vol_low,orderly_trend,13.17611,trend_down_vol_low,orderly_trend,13.17611,100.00000,1.00000,0.00000,"{""trend_down_vol_low"": 4}","{""trend_down_vol_low"": 13.176112371227934}","{""trend_down_vol_low"": 999.0}","{""trend_down_vol_low"": 100.0}",trend_down_vol_low,2,0.00000,0.00000,3.52161,0.00000,999.00000,5.86237,0.00000,0.00000,0,3.52161,999.00000,1,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__regime_trend_down_vol_low__near_miss_patient_symbol_candidate_trades.csv,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__regime_trend_down_vol_low__near_miss_patient_symbol_candidate_analysis.txt
gbpusd_overlap_impulse__30m_overlap__regime_trend_down_vol_low__near_miss_patient__trend_down_vol_low,GBPUSD London/NY overlap impulse continuation [30m_overlap] focused on orderly_trend with patient near-miss optimization focused on trend_down_vol_low,near_miss_optimized,13.17611,4,100.00000,999.00000,0.00000,0.20000,3.29403,3.29403,0.00000,999.00000,3.25000,take_profit,100.00000,1,0.00000,0.00000,trend_down_vol_low,orderly_trend,13.17611,trend_down_vol_low,orderly_trend,13.17611,100.00000,1.00000,0.00000,"{""trend_down_vol_low"": 4}","{""trend_down_vol_low"": 13.176112371227934}","{""trend_down_vol_low"": 999.0}","{""trend_down_vol_low"": 100.0}",trend_down_vol_low,2,0.00000,0.00000,3.52161,0.00000,999.00000,5.86237,0.00000,0.00000,0,3.52161,999.00000,1,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__regime_trend_down_vol_low__near_miss_patient__trend_down_vol_low_symbol_c_trades.csv,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__regime_trend_down_vol_low__near_miss_patient__trend_down_vol_low_symbol_c_analysis.txt
gbpusd_overlap_impulse__30m_overlap__regime_trend_down_vol_low__near_miss_patient__trend_down,GBPUSD London/NY overlap impulse continuation [30m_overlap] focused on orderly_trend with patient near-miss optimization focused on trend_down,near_miss_optimized,7.19154,16,56.25000,1.37483,0.00135,0.80000,0.44947,2.93086,-2.74089,1.06931,7.43750,take_profit,37.50000,1,0.00000,0.00000,trend_down_vol_low,orderly_trend,11.07596,trend_down_vol_high,trend_expansion,-5.66514,62.50000,0.69414,0.51148,"{""trend_down_vol_high"": 2, ""trend_down_vol_low"": 4, ""trend_down_vol_mid"": 10}","{""trend_down_vol_high"": -5.665138283063264, ""trend_down_vol_low"": 11.075964250578197, ""trend_down_vol_mid"": 1.7807125197170641}","{""trend_down_vol_high"": 0.11170790790075645, ""trend_down_vol_low"": 999.0, ""trend_down_vol_mid"": 1.139024289733465}","{""trend_down_vol_high"": 50.0, ""trend_down_vol_low"": 100.0, ""trend_down_vol_mid"": 40.0}",trend_down,2,0.00000,-1.23691,-3.74693,1.36694,0.21990,15.60304,-5.56304,0.35441,4,-3.60375,0.00000,2,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__regime_trend_down_vol_low__near_miss_patient__trend_down_symbol_candidate_trades.csv,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__regime_trend_down_vol_low__near_miss_patient__trend_down_symbol_candidate_analysis.txt
gbpusd_overlap_impulse__30m_overlap__regime_trend_down_vol_low__near_miss_protective,GBPUSD London/NY overlap impulse continuation [30m_overlap] focused on orderly_trend with protective near-miss optimization,near_miss_optimized,13.17611,4,100.00000,999.00000,0.00000,0.20000,3.29403,3.29403,0.00000,999.00000,3.25000,take_profit,100.00000,1,0.00000,0.00000,trend_down_vol_low,orderly_trend,13.17611,trend_down_vol_low,orderly_trend,13.17611,100.00000,1.00000,0.00000,"{""trend_down_vol_low"": 4}","{""trend_down_vol_low"": 13.176112371227934}","{""trend_down_vol_low"": 999.0}","{""trend_down_vol_low"": 100.0}",trend_down_vol_low,2,0.00000,0.00000,3.52161,0.00000,999.00000,5.86237,0.00000,0.00000,0,3.52161,999.00000,1,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__regime_trend_down_vol_low__near_miss_protective_symbol_candidate_trades.csv,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__regime_trend_down_vol_low__near_miss_protective_symbol_candidate_analysis.txt
gbpusd_overlap_impulse__30m_overlap__regime_trend_down_vol_low__near_miss_protective__trend_down_vol_low,GBPUSD London/NY overlap impulse continuation [30m_overlap] focused on orderly_trend with protective near-miss optimization focused on trend_down_vol_low,near_miss_optimized,13.17611,4,100.00000,999.00000,0.00000,0.20000,3.29403,3.29403,0.00000,999.00000,3.25000,take_profit,100.00000,1,0.00000,0.00000,trend_down_vol_low,orderly_trend,13.17611,trend_down_vol_low,orderly_trend,13.17611,100.00000,1.00000,0.00000,"{""trend_down_vol_low"": 4}","{""trend_down_vol_low"": 13.176112371227934}","{""trend_down_vol_low"": 999.0}","{""trend_down_vol_low"": 100.0}",trend_down_vol_low,2,0.00000,0.00000,3.52161,0.00000,999.00000,5.86237,0.00000,0.00000,0,3.52161,999.00000,1,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__regime_trend_down_vol_low__near_miss_protective__trend_down_vol_low_symbo_trades.csv,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__regime_trend_down_vol_low__near_miss_protective__trend_down_vol_low_symbo_analysis.txt
gbpusd_overlap_impulse__30m_overlap__regime_trend_down_vol_low__near_miss_protective__trend_down,GBPUSD London/NY overlap impulse continuation [30m_overlap] focused on orderly_trend with protective near-miss optimization focused on trend_down,near_miss_optimized,0.80109,16,50.00000,1.04487,0.00172,0.80000,0.05007,2.33164,-2.23150,1.04487,6.43750,trailing_stop,43.75000,1,0.00000,0.00000,trend_down_vol_low,orderly_trend,10.04589,trend_down_vol_mid,orderly_trend,-5.53980,62.50000,0.52076,0.55145,"{""trend_down_vol_high"": 2, ""trend_down_vol_low"": 4, ""trend_down_vol_mid"": 10}","{""trend_down_vol_high"": -3.7050000371237184, ""trend_down_vol_low"": 10.04589160092626, ""trend_down_vol_mid"": -5.539803786547337}","{""trend_down_vol_high"": 0.16127592151900164, ""trend_down_vol_low"": 999.0, ""trend_down_vol_mid"": 0.5876460075646714}","{""trend_down_vol_high"": 50.0, ""trend_down_vol_low"": 100.0, ""trend_down_vol_mid"": 30.0}",trend_down,2,0.00000,-0.43186,-3.28190,1.49358,0.20304,8.28252,-4.63297,0.30403,4,-3.60375,0.00000,2,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__regime_trend_down_vol_low__near_miss_protective__trend_down_symbol_candid_trades.csv,artifacts\research\gbpusd\candidates\gbpusd_overlap_impulse__30m_overlap__regime_trend_down_vol_low__near_miss_protective__trend_down_symbol_candid_analysis.txt
